Scenario,Season,chargerAccessType,Daily_pluggedTime_min,Daily_chargingTime_min,Daily_chargingCost_SEK,Daily_energy_kWh,Daily_sessionStarts
VIPV50_Wp400,SPRING,home,12850396.708333334,3204590.4583333335,762621.5707947179,326497.16314104316,21495.0
VIPV50_Wp400,SPRING,work,2050867.0,435951.5,226989.99999999994,56747.499999999985,4670.0
VIPV50_Wp400,SPRING,public,3639760.041666667,829669.1666666665,928791.774742366,168871.23177133925,14450.0
VIPV50_Wp400,SUMMER,home,13205684.416666668,3298797.791666666,804149.2761685279,336523.54700948804,22505.0
VIPV50_Wp400,SUMMER,work,1961978.833333333,408909.50000000006,210380.00000000006,52595.000000000015,4477.5
VIPV50_Wp400,SUMMER,public,3630637.458333334,829122.625,936813.4467671951,170329.71759403552,14602.5
VIPV50_Wp400,AUTUMN,home,13773401.541666666,3459124.791666666,756584.9010997919,352584.1818759332,22782.5
VIPV50_Wp400,AUTUMN,work,1885527.1666666665,390947.29166666674,198840.00000000006,49710.000000000015,4382.5
VIPV50_Wp400,AUTUMN,public,3678768.5,859310.2916666666,976714.2732792419,177584.41332349856,14852.5
VIPV50_Wp400,WINTER,home,13942647.208333332,3452363.708333334,859714.2286686061,350745.9993260943,23380.0
VIPV50_Wp400,WINTER,work,2094121.75,433272.83333333326,219229.99999999994,54807.499999999985,4792.5
VIPV50_Wp400,WINTER,public,3806462.0,885530.9583333333,999285.7746786915,181688.32266885304,15187.5
VIPV50_Wp700,SPRING,home,12279907.416666668,3047316.5,726643.5938858066,310946.11429783836,20670.0
VIPV50_Wp700,SPRING,work,1904170.2083333335,405756.9583333334,212899.99999999994,53224.999999999985,4342.5
VIPV50_Wp700,SPRING,public,3341986.083333333,786093.4583333333,894643.891665821,162662.52575742197,13615.0
VIPV50_Wp700,SUMMER,home,12763009.583333332,3116646.5833333335,761037.59852072,317532.7443666137,21555.0
VIPV50_Wp700,SUMMER,work,1846868.5833333333,382990.5000000001,197160.00000000006,49290.000000000015,4262.5
VIPV50_Wp700,SUMMER,public,3456101.666666667,803900.5416666667,915329.8564284584,166423.61025971972,14050.0
VIPV50_Wp700,AUTUMN,home,13387075.541666666,3412879.333333333,747510.1437457525,348151.583084453,22570.0
VIPV50_Wp700,AUTUMN,work,1847307.25,372539.4166666666,187290.0,46822.5,4255.0
VIPV50_Wp700,AUTUMN,public,3674331.75,846676.375,950816.1846190663,172875.6699307393,14737.5
