Scenario,TimeIndex,Hour,chargerAccessType,Annual_avg_daily_pluggedTime_min,Annual_total_pluggedTime_min,Annual_avg_daily_chargingTime_min,Annual_total_chargingTime_min,Annual_avg_daily_chargingCost_SEK,Annual_total_chargingCost_SEK,Annual_avg_daily_energy_kWh,Annual_total_energy_kWh,Annual_avg_daily_sessionStarts,Annual_total_sessionStarts
VIPV50_Wp1000,18,8.5,public,77293.95102739727,28212292.125000004,26965.421118721464,9842378.708333334,27747.317661121717,10127770.946309427,5044.966847476674,1841412.8993289862,402.7808219178082,147015.0
VIPV50_Wp1000,18,8.5,work,85986.22831050228,31384973.333333332,46139.094863013706,16840769.625000004,23984.13635771997,8754209.77056779,5996.0340894299925,2188552.4426419474,256.24657534246575,93530.0
VIPV50_Wp1000,19,9.0,home,130892.43321917804,47775738.124999985,5131.083447488585,1872845.4583333335,1854.8292607705766,677012.6801812605,519.2528016814668,189527.2726137354,135.73972602739727,49545.0
VIPV50_Wp1000,19,9.0,public,77983.27111872149,28463893.958333343,23842.700342465763,8702585.625000004,25216.551373327504,9204041.251264539,4584.827522423179,1673462.0456844606,349.8424657534247,127692.5
VIPV50_Wp1000,19,9.0,work,91429.42979452055,33371741.875,37041.41952054795,13520118.125,20197.61129140435,7372128.121362588,5049.402822851088,1843032.030340647,139.95890410958904,51085.0
VIPV50_Wp1000,20,9.5,home,121454.699086758,44330965.16666667,8512.120433789954,3106923.9583333335,3093.387322145113,1129086.3725829662,870.0067045390599,317552.4471567569,200.0,73000.0
VIPV50_Wp1000,20,9.5,public,77802.6033105023,28397950.208333336,20473.198630136983,7472717.499999999,22344.792926959766,8155849.418340315,4062.6896230835932,1482881.7124255116,396.7808219178082,144825.0
VIPV50_Wp1000,20,9.5,work,94172.32226027397,34372897.625,27494.804223744304,10035603.541666672,15349.208005755328,5602460.922100695,3837.302001438832,1400615.2305251737,107.56164383561644,39260.0
VIPV50_Wp1000,21,10.0,home,111847.68264840182,40824404.166666664,13538.938926940638,4941712.708333333,4206.2769188285065,1535291.075372405,1399.8546099763473,510946.9326413668,277.6027397260274,101325.0
VIPV50_Wp1000,21,10.0,public,79043.30159817352,28850805.083333336,21010.135730593607,7668699.541666667,22638.06670204276,8262894.346245607,4116.012127644136,1502344.4265901095,471.5,172097.5
VIPV50_Wp1000,21,10.0,work,95340.52659817353,34799292.208333336,19254.218835616444,7027789.875000003,10923.441881353729,3987056.286694111,2730.860470338432,996764.0716735277,98.67123287671232,36015.0
VIPV50_Wp1000,22,10.5,home,100012.52317351596,36504570.95833333,17390.693036529683,6347602.958333335,5440.377626678014,1985737.8337374753,1809.6991951858095,660540.2062428205,277.67808219178085,101352.5
VIPV50_Wp1000,22,10.5,public,80435.02500000002,29358784.125000007,24549.46529680365,8960554.833333332,26513.91297312537,9677578.23519076,4820.71144965916,1759559.6791255935,509.24657534246575,185875.0
VIPV50_Wp1000,22,10.5,work,95960.8855022831,35025723.20833333,14483.981164383556,5286653.124999998,8173.134046994665,2983193.9271530528,2043.2835117486663,745798.4817882632,91.28082191780823,33317.5
VIPV50_Wp1000,23,11.0,home,92147.46621004569,33633825.16666668,22950.415296803654,8376901.583333334,6252.847534919187,2282289.3502455032,2396.7444933377024,874811.7400682614,424.33561643835617,154882.5
VIPV50_Wp1000,23,11.0,public,81980.00034246575,29922700.125,26487.754109589037,9668030.249999998,29451.455178128126,10749781.140016766,5354.810032386932,1954505.66182123,561.6643835616438,205007.5
VIPV50_Wp1000,23,11.0,work,96066.74098173519,35064360.45833334,10784.074657534247,3936187.25,6025.014712819792,2199130.3701792243,1506.253678204948,549782.5925448061,56.86986301369863,20757.5
VIPV50_Wp1000,24,11.5,home,87895.23299086755,32081760.041666657,30746.82602739726,11222591.5,8386.909638148598,3061222.017924238,3225.760530522362,1177402.593640662,483.7328767123288,176562.5
