Scenario,Season,TimeIndex,Hour,chargerAccessType,pluggedTime_min,chargingTime_min,chargingCost_SEK,energy_kWh,sessionStarts
VIPV80_Wp700,AUTUMN,24,11.5,work,95587.41666666664,9051.249999999996,4845.348312458834,1211.3370781147084,72.5
VIPV80_Wp700,AUTUMN,24,11.5,public,80803.33333333339,26585.666666666668,29596.63399762013,5381.206181385484,577.5
VIPV80_Wp700,AUTUMN,25,12.0,home,89020.37500000003,39850.458333333336,9341.072079935986,4151.5875910826635,582.5
VIPV80_Wp700,AUTUMN,25,12.0,work,94475.95833333333,8728.624999999998,4606.885368862504,1151.721342215626,105.0
VIPV80_Wp700,AUTUMN,25,12.0,public,82164.08333333336,29235.250000000007,33768.07036527243,6139.649157322263,622.5
VIPV80_Wp700,AUTUMN,26,12.5,home,90733.62499999994,47317.166666666664,11025.226991951671,4900.100885311858,565.0
VIPV80_Wp700,AUTUMN,26,12.5,work,94038.87499999997,8069.416666666666,4216.444558975437,1054.1111397438592,102.5
VIPV80_Wp700,AUTUMN,26,12.5,public,82623.6666666667,31147.750000000025,37214.87847511144,6766.341540929348,662.5
VIPV80_Wp700,AUTUMN,27,13.0,home,88382.37500000007,48722.666666666635,11348.145284310413,5043.620126360186,597.5
VIPV80_Wp700,AUTUMN,27,13.0,work,94274.29166666664,8276.833333333328,4230.606980036767,1057.6517450091917,112.5
VIPV80_Wp700,AUTUMN,27,13.0,public,83654.75000000003,32582.166666666675,37987.84086610335,6906.8801574733325,517.5
VIPV80_Wp700,AUTUMN,28,13.5,home,92818.49999999999,54777.87499999999,12775.981782214287,5678.214125428562,637.5
VIPV80_Wp700,AUTUMN,28,13.5,work,94926.29166666667,8474.083333333336,4307.212410285609,1076.8031025714022,67.5
VIPV80_Wp700,AUTUMN,28,13.5,public,81691.75000000003,29627.250000000007,35325.53898484487,6422.825269971788,477.5
VIPV80_Wp700,AUTUMN,29,14.0,home,101507.04166666661,63369.375000000065,14620.610956181563,6498.0493138584725,780.0
VIPV80_Wp700,AUTUMN,29,14.0,work,94047.8333333333,7835.791666666668,4068.9324197789465,1017.2331049447366,60.0
VIPV80_Wp700,AUTUMN,29,14.0,public,80412.45833333337,27453.791666666668,32108.30764053461,5837.874116460836,542.5
VIPV80_Wp700,AUTUMN,30,14.5,home,109516.62499999999,70715.25000000003,16170.418024948156,7186.852455532519,775.0
VIPV80_Wp700,AUTUMN,30,14.5,work,92284.16666666669,6297.708333333335,3343.9765515339163,835.9941378834791,30.0
VIPV80_Wp700,AUTUMN,30,14.5,public,80395.95833333331,28089.41666666666,32402.442255813945,5891.353137420723,480.0
VIPV80_Wp700,AUTUMN,31,15.0,home,122330.54166666673,79523.04166666666,20050.590779949234,8020.2363119796955,830.0
VIPV80_Wp700,AUTUMN,31,15.0,work,85889.58333333333,4562.916666666668,2557.833043528023,639.4582608820058,25.0
VIPV80_Wp700,AUTUMN,31,15.0,public,77038.625,26138.20833333333,30599.63416829344,5563.5698487806285,480.0
VIPV80_Wp700,AUTUMN,32,15.5,home,139024.74999999997,89838.70833333336,22590.166398716465,9036.066559486562,1062.5
VIPV80_Wp700,AUTUMN,32,15.5,work,76707.79166666667,3709.5416666666674,2113.0945905782437,528.2736476445609,12.5
VIPV80_Wp700,AUTUMN,32,15.5,public,74799.75,26103.833333333347,30469.248334449338,5539.863333536243,495.0
VIPV80_Wp700,AUTUMN,33,16.0,home,163999.91666666672,105352.37500000004,26346.95025831785,10538.780103327113,1202.5
VIPV80_Wp700,AUTUMN,33,16.0,work,63253.458333333336,2705.8333333333335,1527.3360193444123,381.8340048361031,22.5
VIPV80_Wp700,AUTUMN,33,16.0,public,75025.66666666664,27866.208333333325,32337.552567045124,5879.555012190019,600.0
VIPV80_Wp700,AUTUMN,34,16.5,home,193877.2916666667,124138.5833333332,30948.097814124023,12379.239125649623,1315.0
VIPV80_Wp700,AUTUMN,34,16.5,work,47751.33333333334,1962.0,1123.1086996042145,280.7771749010536,7.5
