vehicle_id,pv_wp,pv_area_m2,pv_eff
2322184,400.0,2.0,0.2
2322569,400.0,2.0,0.2
2322703,400.0,2.0,0.2
2323174,400.0,2.0,0.2
2324411,400.0,2.0,0.2
2325330,400.0,2.0,0.2
2325568,400.0,2.0,0.2
2325706,400.0,2.0,0.2
2326399,400.0,2.0,0.2
2327191,400.0,2.0,0.2
2330722,400.0,2.0,0.2
2331646,400.0,2.0,0.2
2332424,400.0,2.0,0.2
2333631,400.0,2.0,0.2
2334655,400.0,2.0,0.2
2335473,400.0,2.0,0.2
2943901,400.0,2.0,0.2
2944113,400.0,2.0,0.2
2945030,400.0,2.0,0.2
2945180,400.0,2.0,0.2
2947304,400.0,2.0,0.2
3039759,400.0,2.0,0.2
3040376,400.0,2.0,0.2
3040828,400.0,2.0,0.2
3127907,400.0,2.0,0.2
3255172,400.0,2.0,0.2
3255459,400.0,2.0,0.2
3256128,400.0,2.0,0.2
4575456,400.0,2.0,0.2
4576191,400.0,2.0,0.2
4576313,400.0,2.0,0.2
4577001,400.0,2.0,0.2
4577107,400.0,2.0,0.2
4586987,400.0,2.0,0.2
4588031,400.0,2.0,0.2
4594067,400.0,2.0,0.2
4595014,400.0,2.0,0.2
4595504,400.0,2.0,0.2
4598048,400.0,2.0,0.2
4598777,400.0,2.0,0.2
4598830,400.0,2.0,0.2
4600189,400.0,2.0,0.2
4600925,400.0,2.0,0.2
4600956,400.0,2.0,0.2
4601394,400.0,2.0,0.2
4602304,400.0,2.0,0.2
4604173,400.0,2.0,0.2
4605109,400.0,2.0,0.2
4607018,400.0,2.0,0.2
4607727,400.0,2.0,0.2
4608389,400.0,2.0,0.2
4609799,400.0,2.0,0.2
4610082,400.0,2.0,0.2
4622766,400.0,2.0,0.2
4622818,400.0,2.0,0.2
4623910,400.0,2.0,0.2
4638257,400.0,2.0,0.2
4640936,400.0,2.0,0.2
4642257,400.0,2.0,0.2
4642323,400.0,2.0,0.2
4643709,400.0,2.0,0.2
4643903,400.0,2.0,0.2
4644491,400.0,2.0,0.2
4644786,400.0,2.0,0.2
4646269,400.0,2.0,0.2
4647456,400.0,2.0,0.2
4652092,400.0,2.0,0.2
4653799,400.0,2.0,0.2
4653870,400.0,2.0,0.2
4655013,400.0,2.0,0.2
4655481,400.0,2.0,0.2
4656083,400.0,2.0,0.2
4657456,400.0,2.0,0.2
4657795,400.0,2.0,0.2
4659494,400.0,2.0,0.2
4660143,400.0,2.0,0.2
4662147,400.0,2.0,0.2
4663510,400.0,2.0,0.2
