Region,Region_key,Scenario,Season,Daily_demand_MWh,Home_MWh,Public_MWh,Home_share,Public_share,Peak_30min_MW,Peak_TimeIndex,Peak_hour,Load_factor,Spatial_mean_kWh_hex_day,Spatial_std_kWh_hex_day,Spatial_CV,Spatial_Gini,Spatial_HHI,Top_cell_share,Max_demand_HexID,Max_hex_kWh_day,Demand_reduction_pct,Peak_reduction_pct
Suburban,suburban,VIPV50_Wp400,SPRING,4.33,2.64,1.6900000000000002,0.6096997690531177,0.39030023094688227,0.3716682417322703,41,20.0,0.4854239518173013,618.5714285714286,397.69841665795565,0.6429304657287966,0.35648300890795115,0.20190851196603535,0.3083140877598152,566,1335.0,0.11449824942099913,0.1619771188921861
Suburban,suburban,VIPV50_Wp400,SUMMER,4.408408919854482,2.4359089198544814,1.9725,0.5525596568148876,0.44744034318511244,0.45887013601604165,37,18.0,0.40029561868788804,629.7727028363545,495.1303553393197,0.7862048531309217,0.4235296620433797,0.23115972444094485,0.36248995482393775,566,1598.0039502034954,0.074057248333212,-0.15965588860379526
Suburban,suburban,VIPV50_Wp400,AUTUMN,4.753975816007755,2.923975816007756,1.83,0.6150590430355243,0.3849409569644758,0.39578845259251333,38,18.5,0.5004752522957683,679.1394022868224,548.2260222307424,0.80723636470618,0.43145695872581613,0.2359472212148641,0.3796822007217916,566,1805.0,-0.030854331022143563,0.2687777471856169
Suburban,suburban,VIPV50_Wp400,WINTER,5.2299153885156535,2.834915388515655,2.395,0.542057600920434,0.4579423990795662,0.5365769656917375,38,18.5,0.40611721173536725,747.1307697879507,529.1456251008021,0.7082369599782155,0.3922489025220741,0.21451422735416917,0.3240970214780228,566,1695.0,-0.12872672895073445,-0.1829612109351603
Suburban,suburban,VIPV50_Wp700,SPRING,3.5614646601415916,2.4339646601415916,1.1275,0.6834167659675234,0.3165832340324765,0.33689797886068173,42,20.5,0.44047269544647183,508.7806657345131,428.60546824560583,0.8424169727967936,0.41149955906229785,0.24423805086515907,0.414566702476529,566,1476.4646601415916,0.27166669949639133,0.24037573517620625
Suburban,suburban,VIPV50_Wp700,SUMMER,4.08332855144652,2.2758285514465206,1.8075,0.5573464203952698,0.4426535796047302,0.34589315624242545,37,18.0,0.4918822086331199,583.3326502066458,345.19962124090256,0.591771472278494,0.3246640994598702,0.19288478220037947,0.30632571826810606,566,1250.8285514465206,0.14233716889159279,0.12585935762387768
Suburban,suburban,VIPV50_Wp700,AUTUMN,4.415,2.5125,1.9025,0.5690826727066818,0.4309173272933182,0.3874875720646877,37,18.0,0.4747464089057883,630.7142857142857,480.32673828364386,0.761559947448586,0.40899530820255636,0.22571050765112755,0.36183465458663644,566,1597.5,0.042649342864191926,0.28411368869715187
Suburban,suburban,VIPV50_Wp700,WINTER,4.419629108110153,2.574629108110154,1.845,0.5825441558853053,0.41745584411469483,0.33434721940143775,36,17.5,0.5507783589993606,631.3755868728792,358.395710687959,0.5676426490657426,0.3066871866120018,0.18888831100548192,0.2969706208132991,566,1312.5,0.046150246077218314,0.2628833945079299
Suburban,suburban,VIPV50_Wp1000,SPRING,4.301176982980891,2.536176982980891,1.765,0.589647204245759,0.410352795754241,0.40558557434574694,41,20.0,0.4418690381513148,614.4538547115559,452.3199209505899,0.7361332628679222,0.3979662160014261,0.22027031152865337,0.3559902298927776,566,1531.1769829808911,0.12039266790307517,0.08550165608761198
Suburban,suburban,VIPV50_Wp1000,SUMMER,4.266930161873718,2.421930161873718,1.845,0.5676048282942101,0.43239517170578984,0.3715274121312934,40,19.5,0.4785346947210178,609.5614516962454,440.844198021701,0.723215348993855,0.38273282921461727,0.21757720586004337,0.3469569878261209,566,1480.4412362281275,0.10377346405837032,0.06107650631523849
Suburban,suburban,VIPV50_Wp1000,AUTUMN,5.071514221006721,2.837488669147029,2.2340255518596916,0.5594953588799704,0.44050464112002957,0.4262668097973274,39,19.0,0.4957296408848193,724.5020315723887,567.4850267727475,0.783275963410528,0.40474008796848837,0.2305030335509558,0.3789178423483794,566,1921.6872260629887,-0.09970950671673388,0.2124687445570567
Suburban,suburban,VIPV50_Wp1000,WINTER,4.4958900038931935,2.586624066628375,1.909265937264818,0.5753308164542505,0.4246691835457493,0.46114879365693473,41,20.0,0.4062219238972508,642.2700005561703,401.7005782077341,0.6254387996635117,0.3406778611086958,0.19873909887493346,0.31361977245417877,566,1410.0,0.029691526375354407,-0.016668940796643838
Suburban,suburban,VIPV80_Wp400,SPRING,3.7699752073566533,2.132475207356653,1.6375,0.5656470109393251,0.4343529890606749,0.395506043553669,31,15.0,0.39716788875114023,538.5678867652362,358.1133917376632,0.6649363999190064,0.36036050716811796,0.206020059419607,0.3129928295162456,566,1179.9752073566535,0.22902548596911126,0.10822858426211222
Suburban,suburban,VIPV80_Wp400,SUMMER,4.27555509893226,2.61805509893226,1.6575,0.6123310396785836,0.3876689603214164,0.4954063921874101,31,15.0,0.3595999808068379,610.7935855617515,437.4857279322738,0.7162578950954681,0.40328844073451053,0.21614648175522727,0.3262065175480897,566,1394.7139394076708,0.10196188121791029,-0.25199025794088153
Suburban,suburban,VIPV80_Wp400,AUTUMN,4.221115033327654,2.7334648752665363,1.487650158061117,0.647569387160636,0.35243061283936394,0.4260007725088412,41,20.0,0.4128626152941277,603.016433332522,398.05133371689004,0.6601003085721748,0.36659790115461477,0.20510463105386864,0.27338790187422446,566,1154.0017825311943,0.08469144937665513,0.2129602505222895
Suburban,suburban,VIPV80_Wp400,WINTER,4.737780440839923,2.8827804408399227,1.855,0.6084664489705349,0.39153355102946524,0.4729207434122154,40,19.5,0.41742199114379364,676.8257772628461,469.29565400620044,0.6933773354556336,0.35833194354381814,0.21153887561765056,0.35301340382575763,566,1672.5,-0.022513563263167634,-0.04262189969718489
Suburban,suburban,VIPV80_Wp700,SPRING,4.130164981402216,2.685648852369958,1.4445161290322581,0.6502521968161582,0.34974780318384185,0.39720705621368885,41,20.0,0.4332506305372501,590.0235687717452,493.570903254406,0.8365274361528894,0.43709625877111935,0.242825450205218,0.3917879454347091,566,1618.148852369958,0.1553652837848155,0.1043932080580362
Suburban,suburban,VIPV80_Wp700,SUMMER,3.4962152754947358,2.2585651174336183,1.237650158061117,0.6460028743836485,0.35399712561635155,0.34295895015309563,40,19.5,0.4247611453613275,499.4593250706765,373.8737559569437,0.7485569638809693,0.4007926965821178,0.2229053611678135,0.3586905576162058,566,1254.0594067135032,0.2656545135749536,0.13327467865437828
Suburban,suburban,VIPV80_Wp700,AUTUMN,5.182072994806694,3.0070729948066934,2.175,0.5802837972024487,0.41971620279755123,0.506612117592939,41,20.0,0.4262032048164238,740.296142115242,531.8750424505182,0.7184625343727932,0.3991548226280408,0.2165983447567681,0.3280540435659021,566,1700.0,-0.12368312274154318,0.0640301618128075
Suburban,suburban,VIPV80_Wp700,WINTER,4.987083126397097,2.7929032621437035,2.1941798642533934,0.5600274130905509,0.43997258690944896,0.49053061340738885,39,19.0,0.4236129704997036,712.4404466281568,462.5765213878831,0.649284475042326,0.35642192633890524,0.20308147564728415,0.3216709249956262,566,1604.1996422982338,-0.07631837345292643,-0.08144539467715567
Suburban,suburban,VIPV80_Wp1000,SPRING,3.3023888077795447,2.057396694214876,1.2449921135646687,0.6230025638919923,0.37699743610800773,0.36284000592774346,38,18.5,0.3792292233753376,471.7698296827921,298.9570162712509,0.6336925285626323,0.34238185622189343,0.2002237458223004,0.29145329928968233,567,962.4921135646688,0.32464871353780916,0.1818826765194048
Suburban,suburban,VIPV80_Wp1000,SUMMER,4.07,2.73,1.34,0.6707616707616708,0.32923832923832924,0.44480515089730466,40,19.5,0.38125307899702415,581.4285714285714,364.4243433702204,0.626774054936497,0.3545103545103545,0.19897795942021987,0.2807125307125307,566,1142.5,0.14513669947654825,-0.12411088025420439
Suburban,suburban,VIPV80_Wp1000,AUTUMN,4.216761971115333,2.5789713059392567,1.6377906651760759,0.6115999251570557,0.38840007484294414,0.3616754552624631,37,18.0,0.48579026557286525,602.3945673021905,491.87055098790495,0.8165255427032407,0.4340216751438426,0.23810199455526024,0.3859596560461122,566,1627.5,0.08563536941505111,0.3318017757911504
Suburban,suburban,VIPV80_Wp1000,WINTER,4.7153856576921935,2.7628856576921934,1.9525,0.5859299447087869,0.41407005529121316,0.4387180192476682,41,20.0,0.4478375489129985,673.6265225274562,502.26674242384803,0.7456160433519394,0.40105086727524153,0.22227761201482873,0.35468997053754364,566,1672.5,-0.017680293802746862,0.032782932380937775
