location_key,HexID
320536.97|6398292.022,229
321656.707|6407622.167,498
316740.845|6398842.946,245
315972.256|6399329.481,244
318018.0|6399538.864,270
320904.364|6392587.399,74
321817.89|6392788.939,75
321215.245|6401628.951,319
321384.365|6406643.974,483
315974.105|6396607.479,191
323712.697|6407062.945,500
322326.441|6390886.686,46
320918.794|6399750.244,273
318032.449|6399062.05,246
327808.991|6393271.481,99
319664.593|6400280.573,292
321065.435|6406457.528,483
324689.507|6403853.283,399
328341.169|6398107.388,233
321482.178|6405012.193,446
314705.497|6397154.349,190
318521.98|6403078.062,366
317771.391|6387601.682,1
319299.166|6402493.665,367
313219.234|6402639.988,361
312013.231|6400522.775,284
318084.075|6399570.613,270
322702.809|6392056.043,76
323072.346|6400648.892,296
323623.468|6410441.729,566
323854.175|6408453.698,515
329087.418|6392511.615,79
319702.0|6400136.867,292
331672.038|6403404.89,
314506.319|6401004.078,286
312815.499|6393586.974,108
321415.956|6397073.729,198
319385.122|6400381.609,292
322026.116|6397853.073,215
309204.851|6404320.275,408
321968.845|6397979.011,231
316492.032|6400454.435,288
316545.632|6401610.792,314
323498.746|6407917.141,514
316905.789|6405265.398,441
317079.566|6401112.088,315
321679.007|6397525.846,214
321679.211|6399553.88,274
320082.828|6398614.043,229
314450.747|6391324.945,53
312967.604|6403808.432,386
322296.18|6395383.148,161
310303.906|6404621.78,410
319387.895|6400232.875,271
324578.454|6407005.748,501
316598.202|6392478.053,70
327948.661|6403011.553,377
312890.322|6403072.155,361
319655.849|6400019.896,271
321312.453|6404697.896,446
311306.212|6404984.4,436
319933.219|6401170.75,318
323607.138|6393223.495,96
317194.525|6387681.148,1
308314.097|6402161.594,332
325691.653|6388371.755,12
318016.748|6398930.236,246
320702.65|6395375.963,159
319629.567|6399460.368,248
325046.852|6406126.579,470
322410.933|6392708.242,94
329018.103|6398512.667,233
319340.651|6396495.082,195
320012.514|6404513.803,420
314159.94|6397921.182,223
320427.706|6399785.824,272
318356.345|6398951.783,246
322488.871|6402409.764,345
322343.699|6402388.216,345
320257.67|6401877.999,343
314912.8|6392204.481,68
313060.851|6403205.36,361
319233.167|6398677.222,228
312782.125|6402907.479,361
310344.965|6399347.211,238
327990.635|6392957.2,100
315800.651|6403401.157,389
324453.106|6401472.912,323
319626.609|6398234.882,228
324731.864|6404979.259,450
317047.336|6396773.292,192
326688.341|6396647.614,201
328923.843|6403522.08,404
321942.697|6394327.346,143
321234.465|6409352.042,549
323047.589|6393311.757,95
321047.24|6400463.756,294
329142.253|6398374.027,233
324260.711|6395269.862,162
321383.277|6393807.824,117
318747.408|6397890.627,211
322222.261|6392575.849,75
313436.791|6403424.861,387
