Scenario,HexID,chargerAccessType,Annual_avg_daily_chargingTime_min_day,Annual_total_chargingTime_min_day,Annual_avg_daily_chargingCost_SEK_day,Annual_total_chargingCost_SEK_day,Annual_avg_daily_energy_kWh_day,Annual_total_energy_kWh_day
noVIPV,106,public,140.44463470319636,51262.29166666667,82.95205479452055,30277.5,15.082191780821917,5505.0
noVIPV,106,work,0.0,0.0,0.0,0.0,0.0,0.0
noVIPV,107,home,5754.412671232877,2100360.625,1361.1791193673196,496830.37856907165,563.6026457101938,205714.96568422072
noVIPV,107,public,1551.8722602739726,566433.375,2024.3999820512865,738905.9934487196,368.0727240093249,134346.54426340357
noVIPV,107,work,986.7255707762558,360154.8333333334,486.0821917808219,177420.0,121.52054794520548,44355.0
noVIPV,108,home,8930.186757990869,3259518.166666667,2178.595588013356,795187.389624875,912.1299770564731,332927.4416256127
noVIPV,108,public,1968.013127853881,718324.7916666666,2599.804794520548,948928.75,472.6917808219178,172532.5
noVIPV,108,work,238.11621004566211,86912.41666666667,153.45205479452054,56009.99999999999,38.363013698630134,14002.499999999998
noVIPV,109,home,6351.779680365297,2318399.5833333335,1429.1023801116594,521622.3687407557,632.568724781225,230887.5845451471
noVIPV,109,public,950.7297945205479,347016.375,1081.0890410958905,394597.5,196.56164383561645,71745.0
noVIPV,109,work,0.0,0.0,0.0,0.0,0.0,0.0
noVIPV,11,home,9448.192808219179,3448590.375,2204.8650176185306,804775.7314307637,993.8673966847005,362761.59978991566
noVIPV,11,public,0.0,0.0,0.0,0.0,0.0,0.0
noVIPV,11,work,418.8835616438356,152892.5,168.986301369863,61680.0,42.24657534246575,15420.0
noVIPV,110,home,16810.15296803653,6135705.833333334,4094.5229875020186,1494500.8904382368,1711.5402129619702,624712.1777311191
noVIPV,110,public,5040.453538812785,1839765.5416666665,5681.010273972603,2073568.75,1032.9109589041095,377012.5
noVIPV,110,work,843.8469178082191,308004.125,383.26027397260276,139890.0,95.81506849315069,34972.5
noVIPV,111,home,5412.976141552512,1975736.2916666667,1245.0539742091325,454444.70058633335,548.7887782453405,200307.90405954927
noVIPV,111,public,5391.76301369863,1967993.5,5961.510273972603,2175951.25,1083.9109589041095,395627.5
noVIPV,111,work,2175.2504566210046,793966.4166666666,1124.2191780821918,410340.0,281.05479452054794,102585.0
noVIPV,112,home,10459.386415525116,3817676.041666667,2554.701538812204,932466.0616664545,1065.6468508830205,388961.10057230253
noVIPV,112,public,2471.988584474886,902275.8333333334,2883.2431506849316,1052383.75,524.2260273972603,191342.5
noVIPV,112,work,521.697488584475,190419.58333333334,250.05479452054792,91269.99999999999,62.51369863013698,22817.499999999996
noVIPV,113,home,0.0,0.0,0.0,0.0,0.0,0.0
noVIPV,113,public,2148.4937214611873,784200.2083333334,2380.5205479452056,868890.0,432.82191780821915,157980.0
noVIPV,113,work,3470.12203196347,1266594.5416666665,1767.2054794520548,645030.0,441.8013698630137,161257.5
noVIPV,114,home,1433.304908675799,523156.2916666666,354.8872952207024,129533.86275555639,142.6917808219178,52082.5
noVIPV,114,public,1246.2342465753425,454875.5,1151.0068493150684,420117.5,209.27397260273972,76385.0
noVIPV,114,work,4224.951484018265,1542107.2916666667,2115.753424657534,772250.0,528.9383561643835,193062.5
noVIPV,115,home,9412.629794520548,3435609.875,2320.242076660749,846888.3579811733,966.3736741001785,352726.39104656514
noVIPV,115,public,2485.1697488584477,907086.9583333334,2767.8561643835615,1010267.5,503.24657534246575,183685.0
noVIPV,115,work,929.6633561643836,339327.125,452.43835616438355,165140.0,113.10958904109589,41285.0
noVIPV,116,home,293.4294520547945,107101.75,93.82715078401742,34246.91003616636,32.54109589041096,11877.5
noVIPV,116,public,109.09771689497717,39820.666666666664,117.83561643835617,43010.0,21.424657534246574,7820.0
noVIPV,116,work,342.0252283105023,124839.20833333334,160.6849315068493,58649.99999999999,40.171232876712324,14662.499999999998
noVIPV,117,home,7528.617009132419,2747945.208333333,1698.9424488811576,620113.9938416225,746.5168626825769,272478.65487914055
noVIPV,117,public,2659.5866438356165,970749.125,2903.0205479452056,1059602.5,527.8219178082192,192655.0
noVIPV,117,work,638.0848173515981,232900.9583333333,308.32876712328766,112540.0,77.08219178082192,28135.0
noVIPV,118,home,9139.37203196347,3335870.7916666665,2198.134824677298,802319.2110072139,938.9914089026609,342731.8642494712
noVIPV,118,public,6228.256392694063,2273313.583333333,7410.168217597037,2704711.3994229184,1347.3033122903703,491765.70898598514
noVIPV,118,work,867.6151826484019,316679.5416666667,403.7808219178082,147380.0,100.94520547945206,36845.0
noVIPV,119,home,7943.143493150685,2899247.375,1779.328279386741,649454.8219761605,802.835856961466,293035.08779093507
noVIPV,119,public,1376.7487442922375,502513.2916666667,1557.0650684931506,568328.75,283.1027397260274,103332.5
noVIPV,119,work,1251.047602739726,456632.375,589.8904109589041,215310.0,147.47260273972603,53827.5
noVIPV,12,home,3794.4128995433794,1384960.7083333335,744.8416210976733,271867.1917006507,390.972005489618,142704.78200371057
noVIPV,12,public,0.0,0.0,0.0,0.0,0.0,0.0
noVIPV,12,work,1330.2834474885847,485553.4583333334,802.2465753424658,292820.0,200.56164383561645,73205.0
noVIPV,120,home,9749.419406392695,3558538.0833333335,1998.8815269961751,729591.757353604,965.1130467627655,352266.2620684094
noVIPV,120,public,1070.4833333333331,390726.4166666666,1301.3150684931506,474980.0,236.6027397260274,86360.0
noVIPV,120,work,271.5931506849315,99131.5,105.04109589041096,38340.0,26.26027397260274,9585.0
noVIPV,121,home,1879.2213470319634,685915.7916666666,429.0875921669534,156616.971140938,183.83561643835617,67100.0
noVIPV,121,public,0.0,0.0,0.0,0.0,0.0,0.0
noVIPV,121,work,0.0,0.0,0.0,0.0,0.0,0.0
noVIPV,122,home,1812.1599315068493,661438.375,343.43764691223726,125354.7411229666,189.4380015383104,69144.8705614833
noVIPV,122,public,0.0,0.0,0.0,0.0,0.0,0.0
noVIPV,122,work,0.0,0.0,0.0,0.0,0.0,0.0
noVIPV,123,home,8098.397602739726,2955915.125,1825.1467538801905,666178.5651662695,819.6588152946575,299175.46758255
noVIPV,123,public,1887.8818493150684,689076.875,2358.1438356164385,860722.5,428.75342465753425,156495.0
noVIPV,123,work,547.6832191780821,199904.375,291.86301369863014,106530.0,72.96575342465754,26632.5
noVIPV,124,home,13603.047488584474,4965112.333333333,3343.6884916323474,1220446.2994458068,1413.572893129355,515954.1059922145
noVIPV,124,public,1234.2216894977169,450490.9166666666,1391.8013698630136,508007.5,253.05479452054794,92365.0
noVIPV,124,work,0.0,0.0,0.0,0.0,0.0,0.0
noVIPV,125,home,10307.770776255707,3762336.3333333335,2609.863551634776,952600.1963466932,1052.5952637619096,384197.27127309697
noVIPV,125,public,3198.6227168949767,1167497.2916666665,3817.640410958904,1393438.75,694.1164383561644,253352.5
noVIPV,125,work,384.7392694063926,140429.8333333333,188.84931506849315,68930.0,47.21232876712329,17232.5
noVIPV,126,home,17538.596232876713,6401587.625,4212.251377554594,1537471.752807427,1758.1683921377985,641731.4631302964
noVIPV,126,public,3331.0434931506848,1215830.875,3401.8253424657532,1241666.25,618.513698630137,225757.5
noVIPV,126,work,0.0,0.0,0.0,0.0,0.0,0.0
noVIPV,127,home,16220.265525114157,5920396.916666667,3851.0890942623846,1405647.5194057703,1637.013698630137,597510.0
noVIPV,127,public,2279.2453196347033,831924.5416666667,2555.1204947466417,932618.9805825242,464.5673626812076,169567.08737864078
noVIPV,127,work,0.0,0.0,0.0,0.0,0.0,0.0
noVIPV,128,home,4362.365182648402,1592263.2916666667,1133.3849524142968,413685.5076312183,432.1986301369863,157752.5
noVIPV,128,public,0.0,0.0,0.0,0.0,0.0,0.0
noVIPV,128,work,236.92705479452056,86478.375,107.04109589041096,39070.0,26.76027397260274,9767.5
noVIPV,129,home,855.3176940639271,312190.9583333334,136.01912796525224,49646.98170731707,79.99415302372202,29197.865853658535
noVIPV,129,public,439.98595890410957,160594.875,502.55579258609873,183432.86429392605,91.37378047019978,33351.42987162292
noVIPV,129,work,0.0,0.0,0.0,0.0,0.0,0.0
noVIPV,13,home,820.2528538812784,299392.2916666666,219.9038313725803,80264.89845099181,83.26027397260275,30390.0
noVIPV,13,public,0.0,0.0,0.0,0.0,0.0,0.0
noVIPV,13,work,314.4722602739726,114782.375,173.91780821917808,63480.0,43.47945205479452,15870.0
noVIPV,130,home,663.4931506849315,242175.0,189.4482849160336,69148.62399435227,70.8082191780822,25845.0
noVIPV,130,public,0.0,0.0,0.0,0.0,0.0,0.0
noVIPV,130,work,0.0,0.0,0.0,0.0,0.0,0.0
noVIPV,131,home,0.0,0.0,0.0,0.0,0.0,0.0
noVIPV,131,public,612.9683789954337,223733.4583333333,672.9965753424658,245643.75,122.36301369863014,44662.5
noVIPV,131,work,0.0,0.0,0.0,0.0,0.0,0.0
noVIPV,132,home,6669.0350456621,2434197.7916666665,1804.3633179924266,658592.6110672357,701.8326977310745,256168.9346718422
noVIPV,132,public,0.0,0.0,0.0,0.0,0.0,0.0
noVIPV,132,work,197.81643835616438,72203.0,67.5068493150685,24640.0,16.876712328767123,6160.0
noVIPV,133,home,11365.086187214612,4148256.4583333335,2667.099747346401,973491.4077814362,1152.0513870673637,420498.75627958775
noVIPV,133,public,2476.32203196347,903857.5416666666,2972.0342465753424,1084792.5,540.3698630136986,197235.0
noVIPV,133,work,151.63173515981737,55345.583333333336,65.36986301369863,23860.000000000004,16.34246575342466,5965.000000000001
noVIPV,134,home,25026.86038812785,9134804.041666666,5898.315597479066,2152885.193079859,2554.5483378630006,932410.1433199951
noVIPV,134,public,4134.30194063927,1509020.2083333335,4624.324422183332,1687878.4140969163,840.7862585787876,306886.9843812575
noVIPV,134,work,1364.021917808219,497868.0,695.2602739726027,253770.0,173.81506849315068,63442.5
noVIPV,135,home,12193.021347031961,4450452.791666666,2692.1197362542202,982623.7037327904,1238.604483278735,452090.6363967383
noVIPV,135,public,2077.0784246575345,758133.625,2650.321268669957,967367.2630645343,481.87659430362856,175884.95692082442
noVIPV,135,work,2657.727853881279,970070.6666666667,1442.1917808219177,526400.0,360.54794520547944,131600.0
noVIPV,136,home,13344.572260273973,4870768.875,3242.2753846541978,1183430.5153987822,1372.5377034087217,500976.2617441834
noVIPV,136,public,1238.966210045662,452222.6666666666,1396.1712328767123,509602.5,253.84931506849315,92655.0
noVIPV,136,work,851.0288812785388,310625.5416666667,445.2328767123288,162510.0,111.3082191780822,40627.5
noVIPV,137,home,7829.732762557077,2857852.458333333,1865.1042446691927,680763.0493042553,799.6085632762872,291857.1255958448
noVIPV,137,public,1184.0396118721462,432174.4583333334,1494.5684931506848,545517.5,271.73972602739724,99185.0
noVIPV,137,work,842.1856164383562,307397.75,380.4931506849315,138880.0,95.12328767123287,34720.0
noVIPV,138,home,0.0,0.0,0.0,0.0,0.0,0.0
noVIPV,138,public,3114.3186073059355,1136726.2916666665,3264.02397260274,1191368.75,593.4589041095891,216612.5
noVIPV,138,work,1352.0974885844746,493515.58333333326,641.6986301369863,234220.0,160.42465753424656,58555.0
noVIPV,139,home,8266.133789954338,3017138.8333333335,1778.979422386743,649327.4891711612,827.6527756118707,302093.2630983328
noVIPV,139,public,0.0,0.0,0.0,0.0,0.0,0.0
noVIPV,139,work,759.8035388127854,277328.2916666667,366.16438356164383,133650.0,91.54109589041096,33412.5
noVIPV,14,home,1030.0285388127854,375960.4166666667,195.0119307600268,71179.35472740978,107.53117411079656,39248.87855044074
noVIPV,14,public,0.0,0.0,0.0,0.0,0.0,0.0
noVIPV,14,work,0.0,0.0,0.0,0.0,0.0,0.0
noVIPV,140,home,1370.488698630137,500228.375,233.22547299458466,85127.2976430234,137.27695468604452,50106.088460406245
noVIPV,140,public,545.3409817351597,199049.4583333333,599.7260273972603,218900.0,109.04109589041096,39800.0
noVIPV,140,work,0.0,0.0,0.0,0.0,0.0,0.0
noVIPV,141,home,19042.740753424656,6950600.375,4516.683985543735,1648589.654723463,1905.225518630446,695407.3143001128
noVIPV,141,public,1851.1061643835617,675653.75,2212.695205479452,807633.75,402.3082191780822,146842.5
noVIPV,141,work,930.9083333333334,339781.5416666667,503.28767123287673,183700.0,125.82191780821918,45925.0
noVIPV,142,home,10114.357191780822,3691740.375,2272.8607682218685,829594.180400982,1022.3257230952717,373148.88892977417
noVIPV,142,public,5609.8713470319635,2047603.0416666667,6133.201149608537,2238618.419607116,1115.1274817470066,407021.53083765745
noVIPV,142,work,4197.904337899544,1532235.0833333335,2034.7123287671234,742670.0,508.67808219178085,185667.5
noVIPV,143,home,6594.722374429224,2407073.666666667,1498.6199917563843,546996.2969910803,658.0857181900584,240201.28713937133
noVIPV,143,public,2664.6157534246577,972584.75,3065.3082191780823,1118837.5,557.3287671232877,203425.0
noVIPV,143,work,2799.6858447488585,1021885.3333333334,1498.849315068493,547080.0,374.71232876712327,136770.0
noVIPV,144,home,9940.291210045663,3628206.291666667,2546.0216536144867,929297.9035692876,1009.3906084876761,368427.5720980018
noVIPV,144,public,1587.2753424657535,579355.5,1715.6941471879684,626228.3637236084,311.9443903978124,113859.70249520153
noVIPV,144,work,25.46917808219178,9296.25,4.931506849315069,1800.0,1.2328767123287672,450.0
noVIPV,145,home,0.0,0.0,0.0,0.0,0.0,0.0
noVIPV,145,public,28.58721461187214,10434.333333333332,13.863013698630137,5060.0,2.5205479452054793,919.9999999999999
noVIPV,145,work,0.0,0.0,0.0,0.0,0.0,0.0
noVIPV,146,home,0.0,0.0,0.0,0.0,0.0,0.0
noVIPV,146,public,249.91666666666666,91219.58333333333,331.0924657534246,120848.74999999999,60.1986301369863,21972.5
noVIPV,146,work,0.0,0.0,0.0,0.0,0.0,0.0
noVIPV,147,home,3306.0349315068493,1206702.75,744.1085079572972,271599.6054044135,337.61741958368196,123230.35814804392
noVIPV,147,public,0.0,0.0,0.0,0.0,0.0,0.0
noVIPV,147,work,0.0,0.0,0.0,0.0,0.0,0.0
