Scenario,TimeIndex,Hour,chargerAccessType,Annual_avg_daily_session_starts,Annual_total_session_starts
noVIPV,10,4.5,public,14.979452054794521,5467.5
noVIPV,10,4.5,work,30.67808219178082,11197.5
noVIPV,11,5.0,home,9.383561643835616,3425.0
noVIPV,11,5.0,public,41.842465753424655,15272.5
noVIPV,11,5.0,work,107.52739726027397,39247.5
noVIPV,12,5.5,home,8.773972602739725,3202.5
noVIPV,12,5.5,public,61.363013698630134,22397.5
noVIPV,12,5.5,work,145.7054794520548,53182.5
noVIPV,13,6.0,home,5.616438356164384,2050.0
noVIPV,13,6.0,public,208.33561643835617,76042.5
noVIPV,13,6.0,work,304.63013698630135,111190.0
noVIPV,14,6.5,home,10.616438356164384,3875.0
noVIPV,14,6.5,public,240.1164383561644,87642.5
noVIPV,14,6.5,work,435.17123287671234,158837.5
noVIPV,15,7.0,home,21.876712328767123,7985.0
noVIPV,15,7.0,public,516.2945205479452,188447.5
noVIPV,15,7.0,work,804.0753424657535,293487.5
noVIPV,16,7.5,home,30.636986301369863,11182.5
noVIPV,16,7.5,public,638.6643835616438,233112.5
noVIPV,16,7.5,work,911.3219178082192,332632.5
noVIPV,17,8.0,home,48.76027397260274,17797.5
noVIPV,17,8.0,public,550.568493150685,200957.5
noVIPV,17,8.0,work,542.7465753424658,198102.5
noVIPV,18,8.5,home,100.5,36682.5
noVIPV,18,8.5,public,464.9178082191781,169695.0
noVIPV,18,8.5,work,325.8767123287671,118945.0
noVIPV,19,9.0,home,153.13013698630138,55892.5
noVIPV,19,9.0,public,424.36986301369865,154895.0
noVIPV,19,9.0,work,163.3082191780822,59607.5
noVIPV,20,9.5,home,217.6095890410959,79427.5
noVIPV,20,9.5,public,453.7328767123288,165612.5
noVIPV,20,9.5,work,110.1027397260274,40187.5
noVIPV,21,10.0,home,285.13013698630135,104072.5
noVIPV,21,10.0,public,487.0753424657534,177782.5
noVIPV,21,10.0,work,104.98630136986301,38320.0
noVIPV,22,10.5,home,299.45205479452056,109300.0
noVIPV,22,10.5,public,551.0958904109589,201150.0
noVIPV,22,10.5,work,105.65068493150685,38562.5
noVIPV,23,11.0,home,483.972602739726,176650.0
noVIPV,23,11.0,public,565.1849315068494,206292.5
noVIPV,23,11.0,work,65.58219178082192,23937.5
noVIPV,24,11.5,home,519.554794520548,189637.5
noVIPV,24,11.5,public,645.7054794520548,235682.5
noVIPV,24,11.5,work,91.24657534246575,33305.0
noVIPV,25,12.0,home,630.9041095890411,230280.0
noVIPV,25,12.0,public,664.554794520548,242562.5
noVIPV,25,12.0,work,121.91095890410959,44497.5
noVIPV,26,12.5,home,614.6438356164383,224345.0
noVIPV,26,12.5,public,646.8013698630137,236082.5
noVIPV,26,12.5,work,146.25342465753425,53382.5
noVIPV,27,13.0,home,621.3013698630137,226775.0
noVIPV,27,13.0,public,593.7602739726027,216722.5
noVIPV,27,13.0,work,105.58219178082192,38537.5
noVIPV,28,13.5,home,699.6575342465753,255375.0
noVIPV,28,13.5,public,572.1232876712329,208825.0
noVIPV,28,13.5,work,60.02739726027397,21910.0
noVIPV,29,14.0,home,852.2808219178082,311082.5
noVIPV,29,14.0,public,609.0616438356165,222307.5
