HexID,chargerAccessType,chargingTime_min_day,chargingCost_SEK_day,energy_kWh_day,Scenario,Season
90,work,383.45833333333337,170.00000000000003,42.50000000000001,noVIPV,SPRING
90,public,2651.875,2942.5,535.0,noVIPV,SPRING
91,home,0.0,0.0,0.0,noVIPV,SPRING
91,work,1819.1666666666667,860.0,215.0,noVIPV,SPRING
91,public,1817.7916666666665,1842.5,335.0,noVIPV,SPRING
92,home,0.0,0.0,0.0,noVIPV,SPRING
92,work,2338.5416666666665,1320.0,330.0,noVIPV,SPRING
92,public,754.875,756.25,137.5,noVIPV,SPRING
93,home,17685.5,4452.993106731337,1770.0,noVIPV,SPRING
93,work,1248.75,640.0,160.0,noVIPV,SPRING
93,public,561.1666666666666,453.75,82.5,noVIPV,SPRING
94,home,989.3333333333333,198.8854504468876,95.0,noVIPV,SPRING
94,work,5790.833333333333,2790.0,697.5,noVIPV,SPRING
94,public,1865.7083333333333,1925.0,350.0,noVIPV,SPRING
95,home,6715.0,1328.2383045539673,673.1764815505032,noVIPV,SPRING
95,work,693.875,389.99999999999994,97.49999999999999,noVIPV,SPRING
95,public,2012.3333333333333,2048.75,372.5,noVIPV,SPRING
96,home,3693.0833333333335,782.5959941512195,363.57081577082323,noVIPV,SPRING
96,work,0.0,0.0,0.0,noVIPV,SPRING
96,public,1098.5,1333.75,242.5,noVIPV,SPRING
97,home,6522.0,1609.7938784456342,637.5,noVIPV,SPRING
97,work,278.7916666666667,150.00000000000003,37.50000000000001,noVIPV,SPRING
97,public,168.5,220.0,40.0,noVIPV,SPRING
98,home,1784.3333333333333,425.41362363063377,180.0,noVIPV,SPRING
98,work,0.0,0.0,0.0,noVIPV,SPRING
98,public,539.125,646.25,117.5,noVIPV,SPRING
99,home,9980.125,2545.655789283703,1055.0,noVIPV,SPRING
99,work,973.0416666666667,480.0,120.0,noVIPV,SPRING
99,public,780.2916666666666,1278.7500000000002,232.50000000000003,noVIPV,SPRING
100,home,15278.541666666666,4270.907110988817,1590.0,noVIPV,SPRING
100,work,0.0,0.0,0.0,noVIPV,SPRING
100,public,828.25,990.0,180.0,noVIPV,SPRING
101,home,8826.875,1877.6519677274737,905.0,noVIPV,SPRING
101,work,213.16666666666669,90.0,22.5,noVIPV,SPRING
101,public,0.0,0.0,0.0,noVIPV,SPRING
102,home,2452.125,770.4946784009533,249.99999999999997,noVIPV,SPRING
102,work,0.0,0.0,0.0,noVIPV,SPRING
102,public,0.0,0.0,0.0,noVIPV,SPRING
103,home,1102.7083333333333,402.5,115.0,noVIPV,SPRING
103,work,0.0,0.0,0.0,noVIPV,SPRING
103,public,193.625,220.0,40.0,noVIPV,SPRING
104,home,1945.375,637.828744390014,207.5,noVIPV,SPRING
104,work,0.0,0.0,0.0,noVIPV,SPRING
104,public,0.0,0.0,0.0,noVIPV,SPRING
105,home,2779.2916666666665,435.9914292146395,287.5,noVIPV,SPRING
105,work,0.0,0.0,0.0,noVIPV,SPRING
105,public,0.0,0.0,0.0,noVIPV,SPRING
106,home,1518.7083333333333,336.33050795401596,147.5,noVIPV,SPRING
106,work,0.0,0.0,0.0,noVIPV,SPRING
106,public,0.0,0.0,0.0,noVIPV,SPRING
107,home,5935.416666666667,1504.2064773721997,585.0,noVIPV,SPRING
107,work,1754.8333333333333,1010.0,252.5,noVIPV,SPRING
107,public,1590.625,2062.5,375.0,noVIPV,SPRING
108,home,9308.208333333334,2446.478694195885,955.0,noVIPV,SPRING
108,work,0.0,0.0,0.0,noVIPV,SPRING
108,public,1605.25,2145.0,390.0,noVIPV,SPRING
109,home,5393.25,1254.1384782450202,530.0,noVIPV,SPRING
109,work,0.0,0.0,0.0,noVIPV,SPRING
109,public,834.7916666666666,1100.0,200.0,noVIPV,SPRING
110,home,19448.5,4871.690407569346,2015.0,noVIPV,SPRING
110,work,1449.5833333333333,700.0000000000001,175.00000000000003,noVIPV,SPRING
110,public,5532.0,5761.25,1047.5,noVIPV,SPRING
111,home,4431.666666666667,915.286665642928,442.5,noVIPV,SPRING
111,work,2546.0,1350.0,337.5,noVIPV,SPRING
111,public,5359.208333333333,5761.25,1047.5,noVIPV,SPRING
112,home,10600.833333333334,2617.848173293931,1092.5,noVIPV,SPRING
112,work,571.5,319.99999999999994,79.99999999999999,noVIPV,SPRING
112,public,2240.7916666666665,2860.0,520.0,noVIPV,SPRING
113,home,0.0,0.0,0.0,noVIPV,SPRING
113,work,2809.8333333333335,1350.0,337.5,noVIPV,SPRING
113,public,2078.8333333333335,2378.75,432.5,noVIPV,SPRING
114,home,1836.3333333333333,412.25424565751655,177.5,noVIPV,SPRING
114,work,4508.041666666667,2650.0,662.5,noVIPV,SPRING
114,public,1427.4166666666667,1237.5,225.0,noVIPV,SPRING
115,home,10995.166666666666,2744.1513484841976,1124.0208803611738,noVIPV,SPRING
115,work,767.9166666666666,350.0,87.5,noVIPV,SPRING
115,public,2200.5,2653.75,482.5,noVIPV,SPRING
116,home,483.875,141.0397830018083,47.5,noVIPV,SPRING
116,work,0.0,0.0,0.0,noVIPV,SPRING
116,public,265.4583333333333,316.25,57.5,noVIPV,SPRING
117,home,7855.833333333333,1579.089362684381,762.5,noVIPV,SPRING
117,work,595.75,280.0,70.0,noVIPV,SPRING
117,public,1943.4583333333333,2323.75,422.5,noVIPV,SPRING
118,home,10082.75,2476.7510423027043,1030.0,noVIPV,SPRING
118,work,611.2916666666666,260.0,65.0,noVIPV,SPRING
118,public,5922.583333333333,7658.75,1392.5,noVIPV,SPRING
119,home,8364.833333333334,1848.1915521326625,860.0,noVIPV,SPRING
119,work,1656.8333333333333,760.0000000000001,190.00000000000003,noVIPV,SPRING
119,public,1420.2916666666667,1691.25,307.5,noVIPV,SPRING
120,home,11568.75,2206.4830653442236,1172.5,noVIPV,SPRING
120,work,459.75,229.99999999999997,57.49999999999999,noVIPV,SPRING
120,public,1569.125,1801.25,327.5,noVIPV,SPRING
121,home,2355.3333333333335,535.9904716246772,240.0,noVIPV,SPRING
121,work,0.0,0.0,0.0,noVIPV,SPRING
121,public,0.0,0.0,0.0,noVIPV,SPRING
122,home,535.1666666666666,68.75,55.0,noVIPV,SPRING
122,work,0.0,0.0,0.0,noVIPV,SPRING
122,public,0.0,0.0,0.0,noVIPV,SPRING
123,home,6227.583333333333,1408.0554503561286,641.3744275729091,noVIPV,SPRING
123,work,699.1666666666666,400.0,100.0,noVIPV,SPRING
123,public,1754.9166666666667,1980.0,360.0,noVIPV,SPRING
124,home,12474.541666666666,3046.6943948796156,1300.0,noVIPV,SPRING
124,work,0.0,0.0,0.0,noVIPV,SPRING
124,public,1613.3333333333333,1980.0,360.0,noVIPV,SPRING
125,home,8954.083333333334,2366.329995331359,897.5,noVIPV,SPRING
125,work,401.375,190.0,47.5,noVIPV,SPRING
125,public,3117.375,4111.25,747.5,noVIPV,SPRING
126,home,17553.125,3917.589065353818,1727.5,noVIPV,SPRING
126,work,0.0,0.0,0.0,noVIPV,SPRING
126,public,3173.4583333333335,3355.0,610.0,noVIPV,SPRING
127,home,17329.916666666668,3860.1878164110717,1745.0,noVIPV,SPRING
127,work,0.0,0.0,0.0,noVIPV,SPRING
127,public,2001.0416666666667,2282.5,415.0,noVIPV,SPRING
128,home,3688.4583333333335,1134.7977920098647,375.0,noVIPV,SPRING
128,work,359.79166666666663,110.0,27.5,noVIPV,SPRING
128,public,0.0,0.0,0.0,noVIPV,SPRING
129,home,734.4583333333334,78.12500000000001,62.50000000000001,noVIPV,SPRING
129,work,0.0,0.0,0.0,noVIPV,SPRING
129,public,427.8333333333333,481.25,87.5,noVIPV,SPRING
130,home,0.0,0.0,0.0,noVIPV,SPRING
130,work,0.0,0.0,0.0,noVIPV,SPRING
130,public,0.0,0.0,0.0,noVIPV,SPRING
131,home,0.0,0.0,0.0,noVIPV,SPRING
131,work,0.0,0.0,0.0,noVIPV,SPRING
131,public,405.5,453.75,82.5,noVIPV,SPRING
132,home,6864.083333333333,1972.7794796133724,710.0,noVIPV,SPRING
132,work,302.33333333333337,70.0,17.5,noVIPV,SPRING
132,public,0.0,0.0,0.0,noVIPV,SPRING
133,home,12410.458333333334,3039.8069001596323,1282.0235623832261,noVIPV,SPRING
133,work,124.625,30.0,7.5,noVIPV,SPRING
133,public,2639.6666666666665,3148.75,572.5,noVIPV,SPRING
134,home,22559.583333333332,5585.42020102669,2349.85270487413,noVIPV,SPRING
134,work,1019.25,540.0,135.0,noVIPV,SPRING
134,public,4812.25,6173.75,1122.5,noVIPV,SPRING
135,home,14033.458333333334,3026.8003726292413,1427.5,noVIPV,SPRING
135,work,2419.25,1380.0,345.0,noVIPV,SPRING
135,public,1960.9583333333333,2461.25,447.50000000000006,noVIPV,SPRING
136,home,16181.833333333334,3973.1930101476382,1662.5,noVIPV,SPRING
136,work,811.7083333333334,440.0,110.0,noVIPV,SPRING
