HexID,noVIPV_sessions,VIPV50_Wp700_sessions,Avoided_sessions_day,Frequency_reduction_pct,Ranking,Charger_context,chargerAccessType
92,29.404109589041095,19.95205479452055,9.452054794520546,32.145352900069874,largest_absolute_avoided_sessions,work,work
421,33.21232876712329,24.328767123287673,8.883561643835616,26.74778304805114,largest_absolute_avoided_sessions,work,work
253,1.8767123287671232,0.0,1.8767123287671232,100.00000000000001,largest_percentage_reduction,work,work
479,1.8767123287671232,0.0,1.8767123287671232,100.00000000000001,largest_percentage_reduction,work,work
167,0.6301369863013698,0.0,0.6301369863013698,100.0,largest_percentage_reduction,work,work
192,1.2534246575342465,0.0,1.2534246575342465,100.0,largest_percentage_reduction,work,work
251,1.2465753424657535,0.0,1.2465753424657535,100.0,largest_percentage_reduction,work,work
258,0.6164383561643836,0.0,0.6164383561643836,100.0,largest_percentage_reduction,work,work
277,1.2602739726027397,0.0,1.2602739726027397,100.0,largest_percentage_reduction,work,work
335,1.2602739726027397,0.0,1.2602739726027397,100.0,largest_percentage_reduction,work,work
363,0.6301369863013698,0.0,0.6301369863013698,100.0,largest_percentage_reduction,work,work
393,0.6232876712328768,0.0,0.6232876712328768,100.0,largest_percentage_reduction,work,work
431,0.6301369863013698,0.0,0.6301369863013698,100.0,largest_percentage_reduction,work,work
490,3.767123287671233,0.0,3.767123287671233,100.0,largest_percentage_reduction,work,work
493,1.2534246575342465,0.0,1.2534246575342465,100.0,largest_percentage_reduction,work,work
508,0.6301369863013698,0.0,0.6301369863013698,100.0,largest_percentage_reduction,work,work
526,1.2534246575342465,0.0,1.2534246575342465,100.0,largest_percentage_reduction,work,work
532,0.6301369863013698,0.0,0.6301369863013698,100.0,largest_percentage_reduction,work,work
534,0.6164383561643836,0.0,0.6164383561643836,100.0,largest_percentage_reduction,work,work
547,0.6232876712328768,0.0,0.6232876712328768,100.0,largest_percentage_reduction,work,work
57,0.6301369863013698,0.0,0.6301369863013698,100.0,largest_percentage_reduction,work,work
576,0.6301369863013698,0.0,0.6301369863013698,100.0,largest_percentage_reduction,work,work
271,444.3082191780822,364.85616438356163,79.45205479452056,17.882193343507687,largest_absolute_avoided_sessions,public,public
191,86.86301369863014,61.85616438356164,25.0068493150685,28.788834568680024,largest_absolute_avoided_sessions,public,public
227,245.64383561643837,221.02739726027397,24.616438356164394,10.021191166629492,largest_absolute_avoided_sessions,public,public
321,148.13013698630138,123.76027397260275,24.369863013698634,16.45165765015952,largest_absolute_avoided_sessions,public,public
293,98.71232876712328,76.1917808219178,22.52054794520548,22.814321398834306,largest_absolute_avoided_sessions,public,public
211,118.15068493150685,96.91780821917808,21.23287671232876,17.971014492753618,largest_absolute_avoided_sessions,public,public
291,147.41780821917808,127.91095890410959,19.506849315068493,13.232356084189007,largest_absolute_avoided_sessions,public,public
246,324.85616438356163,305.66438356164383,19.191780821917803,5.907777941765585,largest_absolute_avoided_sessions,public,public
349,96.27397260273973,77.45205479452055,18.821917808219183,19.550369948776325,largest_absolute_avoided_sessions,public,public
142,116.28767123287672,97.5,18.78767123287672,16.156202143951,largest_absolute_avoided_sessions,public,public
287,89.39041095890411,70.64383561643835,18.74657534246576,20.971573059535675,largest_absolute_avoided_sessions,public,public
248,273.74657534246575,255.5068493150685,18.23972602739724,6.662996972502307,largest_absolute_avoided_sessions,public,public
324,87.60958904109589,69.39041095890411,18.219178082191775,20.795872097568598,largest_absolute_avoided_sessions,public,public
