TimeIndex,chargerAccessType,Hour,chargingTime_min,chargingCost_SEK,energy_kWh,Scenario,Season
41,home,20.0,132336.5,33912.788671808616,13565.115468723447,noVIPV,SUMMER
41,work,20.0,522.5,313.2982440361161,78.32456100902903,noVIPV,SUMMER
41,public,20.0,12627.583333333334,14953.240687395553,2718.7710340719186,noVIPV,SUMMER
42,home,20.5,118181.875,30415.034014435838,12166.013605774337,noVIPV,SUMMER
42,work,20.5,258.7083333333333,181.83982521294195,45.45995630323549,noVIPV,SUMMER
42,public,20.5,10477.166666666666,12609.147455677097,2292.572264668563,noVIPV,SUMMER
43,home,21.0,104255.16666666667,26889.374970571127,10755.749988228452,noVIPV,SUMMER
43,work,21.0,133.5,97.42750442499671,24.356876106249178,noVIPV,SUMMER
43,public,21.0,8389.875,9989.937958382698,1816.3523560695812,noVIPV,SUMMER
44,home,21.5,89474.33333333333,23180.134889707195,9272.053955882877,noVIPV,SUMMER
44,work,21.5,79.125,57.72211799808976,14.43052949952244,noVIPV,SUMMER
44,public,21.5,6242.166666666667,7491.1813258511365,1362.0329683365703,noVIPV,SUMMER
45,home,22.0,101205.29166666667,20792.555603756693,10396.277801878347,noVIPV,SUMMER
45,work,22.0,0.0,0.0,0.0,noVIPV,SUMMER
45,public,22.0,7107.916666666667,8341.352380940201,1516.6095238073094,noVIPV,SUMMER
46,home,22.5,131164.625,26573.77598450937,13286.887992254686,noVIPV,SUMMER
46,work,22.5,0.0,0.0,0.0,noVIPV,SUMMER
46,public,22.5,13013.666666666666,14634.004403951658,2660.728073445756,noVIPV,SUMMER
47,home,23.0,153960.58333333334,30947.36999865296,15473.684999326479,noVIPV,SUMMER
47,work,23.0,0.0,0.0,0.0,noVIPV,SUMMER
47,public,23.0,18448.75,20759.92670098105,3774.5321274511,noVIPV,SUMMER
48,home,23.5,167455.83333333334,33687.956998132555,16843.978499066274,noVIPV,SUMMER
48,work,23.5,0.0,0.0,0.0,noVIPV,SUMMER
48,public,23.5,19484.583333333332,23074.64844047716,4195.390625541302,noVIPV,SUMMER
1,home,0.0,77766.625,11858.396311809447,7905.597541206298,noVIPV,AUTUMN
1,work,0.0,25.291666666666668,6.387232549982462,1.5968081374956156,noVIPV,AUTUMN
1,public,0.0,8942.291666666666,10703.949141526044,1946.1725711865536,noVIPV,AUTUMN
