HexID,chargerAccessType,Sample_session_starts,Fullscale_avg_daily_session_starts,Scenario,Season
81,work,0.0,0.0,noVIPV,SPRING
81,public,0.0,0.0,noVIPV,SPRING
82,home,1.0,2.5,noVIPV,SPRING
82,work,0.0,0.0,noVIPV,SPRING
82,public,2.0,5.0,noVIPV,SPRING
83,home,0.0,0.0,noVIPV,SPRING
83,work,0.0,0.0,noVIPV,SPRING
83,public,1.0,2.5,noVIPV,SPRING
84,home,38.0,95.0,noVIPV,SPRING
84,work,2.0,5.0,noVIPV,SPRING
84,public,10.0,25.0,noVIPV,SPRING
85,home,33.0,82.5,noVIPV,SPRING
85,work,5.0,12.5,noVIPV,SPRING
85,public,11.0,27.5,noVIPV,SPRING
86,home,57.0,142.5,noVIPV,SPRING
86,work,0.0,0.0,noVIPV,SPRING
86,public,26.0,65.0,noVIPV,SPRING
87,home,13.0,32.5,noVIPV,SPRING
87,work,2.0,5.0,noVIPV,SPRING
87,public,5.0,12.5,noVIPV,SPRING
88,home,20.0,50.0,noVIPV,SPRING
88,work,3.0,7.5,noVIPV,SPRING
88,public,25.0,62.5,noVIPV,SPRING
89,home,0.0,0.0,noVIPV,SPRING
89,work,21.0,52.5,noVIPV,SPRING
89,public,12.0,30.0,noVIPV,SPRING
90,home,0.0,0.0,noVIPV,SPRING
90,work,2.0,5.0,noVIPV,SPRING
90,public,18.0,45.0,noVIPV,SPRING
91,home,0.0,0.0,noVIPV,SPRING
91,work,8.0,20.0,noVIPV,SPRING
91,public,15.0,37.5,noVIPV,SPRING
92,home,0.0,0.0,noVIPV,SPRING
92,work,10.0,25.0,noVIPV,SPRING
92,public,6.0,15.0,noVIPV,SPRING
93,home,47.0,117.5,noVIPV,SPRING
93,work,6.0,15.0,noVIPV,SPRING
93,public,21.0,52.5,noVIPV,SPRING
94,home,3.0,7.5,noVIPV,SPRING
94,work,29.0,72.5,noVIPV,SPRING
94,public,12.0,30.0,noVIPV,SPRING
95,home,24.0,60.0,noVIPV,SPRING
95,work,2.0,5.0,noVIPV,SPRING
95,public,13.0,32.5,noVIPV,SPRING
96,home,15.0,37.5,noVIPV,SPRING
96,work,0.0,0.0,noVIPV,SPRING
96,public,6.0,15.0,noVIPV,SPRING
97,home,18.0,45.0,noVIPV,SPRING
97,work,1.0,2.5,noVIPV,SPRING
97,public,3.0,7.5,noVIPV,SPRING
98,home,5.0,12.5,noVIPV,SPRING
98,work,0.0,0.0,noVIPV,SPRING
98,public,3.0,7.5,noVIPV,SPRING
99,home,23.0,57.5,noVIPV,SPRING
99,work,4.0,10.0,noVIPV,SPRING
99,public,5.0,12.5,noVIPV,SPRING
100,home,34.0,85.0,noVIPV,SPRING
100,work,0.0,0.0,noVIPV,SPRING
100,public,26.0,65.0,noVIPV,SPRING
101,home,22.0,55.0,noVIPV,SPRING
101,work,1.0,2.5,noVIPV,SPRING
101,public,0.0,0.0,noVIPV,SPRING
102,home,6.0,15.0,noVIPV,SPRING
102,work,0.0,0.0,noVIPV,SPRING
102,public,0.0,0.0,noVIPV,SPRING
103,home,5.0,12.5,noVIPV,SPRING
103,work,0.0,0.0,noVIPV,SPRING
103,public,2.0,5.0,noVIPV,SPRING
104,home,6.0,15.0,noVIPV,SPRING
104,work,0.0,0.0,noVIPV,SPRING
104,public,0.0,0.0,noVIPV,SPRING
105,home,5.0,12.5,noVIPV,SPRING
105,work,0.0,0.0,noVIPV,SPRING
105,public,0.0,0.0,noVIPV,SPRING
106,home,4.0,10.0,noVIPV,SPRING
106,work,0.0,0.0,noVIPV,SPRING
106,public,0.0,0.0,noVIPV,SPRING
107,home,17.0,42.5,noVIPV,SPRING
107,work,5.0,12.5,noVIPV,SPRING
107,public,13.0,32.5,noVIPV,SPRING
108,home,25.0,62.5,noVIPV,SPRING
108,work,0.0,0.0,noVIPV,SPRING
108,public,10.0,25.0,noVIPV,SPRING
109,home,17.0,42.5,noVIPV,SPRING
109,work,0.0,0.0,noVIPV,SPRING
109,public,6.0,15.0,noVIPV,SPRING
110,home,52.0,130.0,noVIPV,SPRING
110,work,7.0,17.5,noVIPV,SPRING
110,public,42.0,105.0,noVIPV,SPRING
111,home,11.0,27.5,noVIPV,SPRING
111,work,10.0,25.0,noVIPV,SPRING
111,public,36.0,90.0,noVIPV,SPRING
112,home,25.0,62.5,noVIPV,SPRING
112,work,2.0,5.0,noVIPV,SPRING
112,public,17.0,42.5,noVIPV,SPRING
113,home,0.0,0.0,noVIPV,SPRING
113,work,16.0,40.0,noVIPV,SPRING
113,public,15.0,37.5,noVIPV,SPRING
114,home,6.0,15.0,noVIPV,SPRING
114,work,14.0,35.0,noVIPV,SPRING
114,public,10.0,25.0,noVIPV,SPRING
115,home,30.0,75.0,noVIPV,SPRING
115,work,4.0,10.0,noVIPV,SPRING
115,public,17.0,42.5,noVIPV,SPRING
116,home,1.0,2.5,noVIPV,SPRING
116,work,0.0,0.0,noVIPV,SPRING
116,public,1.0,2.5,noVIPV,SPRING
117,home,28.0,70.0,noVIPV,SPRING
117,work,3.0,7.5,noVIPV,SPRING
117,public,14.0,35.0,noVIPV,SPRING
118,home,27.0,67.5,noVIPV,SPRING
118,work,4.0,10.0,noVIPV,SPRING
118,public,38.0,95.0,noVIPV,SPRING
119,home,22.0,55.0,noVIPV,SPRING
119,work,9.0,22.5,noVIPV,SPRING
119,public,10.0,25.0,noVIPV,SPRING
120,home,32.0,80.0,noVIPV,SPRING
120,work,2.0,5.0,noVIPV,SPRING
120,public,11.0,27.5,noVIPV,SPRING
121,home,5.0,12.5,noVIPV,SPRING
121,work,0.0,0.0,noVIPV,SPRING
121,public,0.0,0.0,noVIPV,SPRING
122,home,1.0,2.5,noVIPV,SPRING
122,work,0.0,0.0,noVIPV,SPRING
122,public,0.0,0.0,noVIPV,SPRING
123,home,16.0,40.0,noVIPV,SPRING
123,work,2.0,5.0,noVIPV,SPRING
123,public,10.0,25.0,noVIPV,SPRING
124,home,28.0,70.0,noVIPV,SPRING
124,work,0.0,0.0,noVIPV,SPRING
124,public,10.0,25.0,noVIPV,SPRING
125,home,26.0,65.0,noVIPV,SPRING
125,work,2.0,5.0,noVIPV,SPRING
125,public,20.0,50.0,noVIPV,SPRING
126,home,51.0,127.5,noVIPV,SPRING
