TimeIndex,chargerAccessType,Hour,Sample_session_starts,Fullscale_avg_daily_session_starts,Scenario,Season
40,home,19.5,237.0,592.5,noVIPV,SUMMER
40,work,19.5,3.0,7.5,noVIPV,SUMMER
40,public,19.5,86.0,215.0,noVIPV,SUMMER
41,home,20.0,167.0,417.5,noVIPV,SUMMER
41,work,20.0,0.0,0.0,noVIPV,SUMMER
41,public,20.0,46.0,115.0,noVIPV,SUMMER
42,home,20.5,129.0,322.5,noVIPV,SUMMER
42,work,20.5,0.0,0.0,noVIPV,SUMMER
42,public,20.5,44.0,110.0,noVIPV,SUMMER
43,home,21.0,111.0,277.5,noVIPV,SUMMER
43,work,21.0,2.0,5.0,noVIPV,SUMMER
43,public,21.0,36.0,90.0,noVIPV,SUMMER
44,home,21.5,102.0,255.0,noVIPV,SUMMER
44,work,21.5,0.0,0.0,noVIPV,SUMMER
44,public,21.5,21.0,52.5,noVIPV,SUMMER
45,home,22.0,535.0,1337.5,noVIPV,SUMMER
45,work,22.0,0.0,0.0,noVIPV,SUMMER
45,public,22.0,63.0,157.5,noVIPV,SUMMER
46,home,22.5,596.0,1490.0,noVIPV,SUMMER
46,work,22.5,0.0,0.0,noVIPV,SUMMER
46,public,22.5,108.0,270.0,noVIPV,SUMMER
47,home,23.0,511.0,1277.5,noVIPV,SUMMER
47,work,23.0,0.0,0.0,noVIPV,SUMMER
47,public,23.0,99.0,247.5,noVIPV,SUMMER
48,home,23.5,397.0,992.5,noVIPV,SUMMER
48,work,23.5,0.0,0.0,noVIPV,SUMMER
48,public,23.5,68.0,170.0,noVIPV,SUMMER
1,home,0.0,796.0,1990.0,noVIPV,AUTUMN
1,work,0.0,1.0,2.5,noVIPV,AUTUMN
1,public,0.0,158.0,395.0,noVIPV,AUTUMN
2,home,0.5,623.0,1557.5,noVIPV,AUTUMN
2,work,0.5,0.0,0.0,noVIPV,AUTUMN
2,public,0.5,119.0,297.5,noVIPV,AUTUMN
3,home,1.0,261.0,652.5,noVIPV,AUTUMN
3,work,1.0,0.0,0.0,noVIPV,AUTUMN
3,public,1.0,58.0,145.0,noVIPV,AUTUMN
4,home,1.5,103.0,257.5,noVIPV,AUTUMN
4,work,1.5,0.0,0.0,noVIPV,AUTUMN
4,public,1.5,23.0,57.5,noVIPV,AUTUMN
5,home,2.0,30.0,75.0,noVIPV,AUTUMN
5,work,2.0,0.0,0.0,noVIPV,AUTUMN
