HexID,chargerAccessType,noVIPV_cost,noVIPV_time_min,VIPV_cost,VIPV_time_min,Cost_saving_SEK_day,Time_saving_min_day,Cost_reduction_pct,Time_reduction_pct
128,home,1133.3849524142968,4362.365182648402,1227.0097818425218,4681.2119863013695,-93.62482942822498,-318.84680365296754,-8.260638120242259,-7.3090351289525675
128,public,0.0,0.0,0.0,0.0,0.0,0.0,,
128,work,107.04109589041096,236.92705479452056,130.63013698630138,252.14200913242007,-23.589041095890423,-15.214954337899513,-22.037368825185577,-6.421788491438838
129,home,136.01912796525224,855.3176940639271,131.5745811596254,830.8704337899543,4.444546805626828,24.4472602739728,3.2675895457602424,2.858266635151078
129,public,502.55579258609873,439.98595890410957,468.1563487881981,475.1931506849315,34.39944379790063,-35.207191780821915,6.844900467843529,-8.001889848601955
129,work,0.0,0.0,0.0,0.0,0.0,0.0,,
13,home,219.9038313725803,820.2528538812784,434.47180129260755,1451.159132420091,-214.56796992002725,-630.9062785388127,-97.57354775528555,-76.91607234933542
13,public,0.0,0.0,0.0,0.0,0.0,0.0,,
13,work,173.91780821917808,314.4722602739726,371.5890410958904,686.9831050228311,-197.67123287671234,-372.51084474885846,-113.65784499054821,-118.45586775263477
130,home,189.4482849160336,663.4931506849315,61.96647164999183,201.63698630136986,127.48181326604177,461.85616438356163,67.29108860634113,69.60978631155156
130,public,0.0,0.0,0.0,0.0,0.0,0.0,,
130,work,0.0,0.0,0.0,0.0,0.0,0.0,,
131,home,0.0,0.0,0.0,0.0,0.0,0.0,,
131,public,672.9965753424658,612.9683789954337,870.431506849315,763.1131278538812,-197.43493150684924,-150.14474885844754,-29.33669185558353,-24.49469728022725
131,work,0.0,0.0,0.0,0.0,0.0,0.0,,
132,home,1804.3633179924266,6669.0350456621,1384.7900160629626,5127.988356164384,419.5733019294639,1541.0466894977162,23.253260457339056,23.107491247929428
132,public,0.0,0.0,0.0,0.0,0.0,0.0,,
132,work,67.5068493150685,197.81643835616438,152.986301369863,333.13413242009136,-85.47945205479452,-135.31769406392698,-126.62337662337663,-68.40568720597946
133,home,2667.099747346401,11365.086187214612,2387.1209357533944,10191.027739726027,279.9788115930064,1174.0584474885854,10.497500585479338,10.330396339707187
133,public,2972.0342465753424,2476.32203196347,2174.9707798151144,1812.1897260273972,797.063466760228,664.132305936073,26.81878473233206,26.819302875946388
133,work,65.36986301369863,151.63173515981737,83.17808219178082,173.58173515981733,-17.808219178082183,-21.94999999999996,-27.242246437552375,-14.475861518609557
134,home,5898.315597479066,25026.86038812785,5319.327692002394,22828.017922374427,578.9879054766725,2198.8424657534233,9.816156763875627,8.785930123286667
134,public,4624.324422183332,4134.30194063927,3018.821917808219,2733.967808219178,1605.502504375113,1400.3341324200915,34.7186390442972,33.87111421773814
134,work,695.2602739726027,1364.021917808219,779.3698630136986,1340.1094748858447,-84.10958904109589,23.91244292237434,-12.097568664538757,1.7530834812975797
