TimeIndex,Hour,chargerAccessType,noVIPV,VIPV50_Wp700,Saving,Reduction_pct
34,16.5,home,33260.2003576927,30875.00597829643,2385.194379396271,7.171316930580675
34,16.5,public,37752.51565040146,34588.535693189915,3163.9799572115444,8.380845362759022
34,16.5,work,1311.1776929005753,1155.111901659555,156.06579124102018,11.902718608320194
35,17.0,home,43758.66841083056,40321.82162836757,3436.8467824629915,7.854093616825756
35,17.0,public,37566.104058278084,35628.49539463873,1937.608663639352,5.157864282741291
35,17.0,work,945.3741921753932,917.809619401587,27.564572773806162,2.9157314640013112
36,17.5,home,46439.50744361602,42809.11482485703,3630.3926187589896,7.81746581435384
36,17.5,public,34851.694326134835,33383.9807087288,1467.713617406036,4.2113120919501945
36,17.5,work,615.763188354242,587.4495300882207,28.313658266021207,4.598140779038038
37,18.0,home,48290.389840841744,44354.899256396064,3935.4905844456807,8.149635149802057
37,18.0,public,32668.3429214443,31197.627092135124,1470.7158293091743,4.501960300973089
37,18.0,work,418.5247774012719,438.0893829627828,-19.564605561510916,-4.674658853650814
38,18.5,home,48444.68713720513,44252.49699637271,4192.190140832419,8.653560149865951
38,18.5,public,28671.2211145196,27182.4574150967,1488.7636994229033,5.192536772244304
38,18.5,work,339.18902467458736,384.7541492272117,-45.565124552624354,-13.433549212371723
39,19.0,home,46082.47853973665,42166.090678511275,3916.3878612253757,8.498648478397918
39,19.0,public,25115.853844254565,23505.201836538683,1610.652007715882,6.412889713818471
39,19.0,work,318.9071899716826,348.8856524609479,-29.97846248926527,-9.400372093187114
40,19.5,home,43481.30571772431,39770.178869309755,3711.126848414555,8.534994032853493
40,19.5,public,20294.463135477177,18686.6978909267,1607.7652445504755,7.922186627050545
40,19.5,work,328.1133705462575,305.26100459304695,22.85236595321055,6.964777422866045
41,20.0,home,35151.13772737275,32050.307937216836,3100.8297901559126,8.82142084334655
41,20.0,public,16492.604853079734,14992.83440639351,1499.7704466862251,9.093593522955027
41,20.0,work,253.4248434342927,228.20129140009828,25.223552034194427,9.953069988078859
42,20.5,home,31710.55330773363,28967.396403498136,2743.156904235493,8.650611919680655
42,20.5,public,13002.765805462186,11678.226459551875,1324.5393459103107,10.186596957348103
42,20.5,work,126.95761198575606,116.89537144322232,10.062240542533743,7.925669351486125
43,21.0,home,26639.02053783341,24493.870914631458,2145.1496232019526,8.052659519351911
43,21.0,public,10275.164008322801,9292.59583636178,982.568171961022,9.562554633338696
43,21.0,work,30.541767447847366,38.238082881358075,-7.6963154335107085,-25.19931253701284
44,21.5,home,23195.982430474607,21441.290448062246,1754.6919824123615,7.5646374869945925
44,21.5,public,7691.495458863486,7168.628315644442,522.867143219044,6.797990664045768
44,21.5,work,25.855167953831206,20.6290652088146,5.2261027450166075,20.212990897404737
45,22.0,home,18598.934275574928,17204.820499576308,1394.1137759986195,7.495664834029985
45,22.0,public,7292.445177940162,7029.840851067398,262.6043268727635,3.601046294693425
45,22.0,work,11.13232480185169,3.751552680477493,7.380772121374196,66.30036630036629
46,22.5,home,20283.18032518584,18758.02660548549,1525.153719700349,7.519302669742326
46,22.5,public,9490.962985793765,9293.487538775253,197.47544701851257,2.0806681820811774
46,22.5,work,0.0,0.0,0.0,
47,23.0,home,21552.55568164691,19975.489912684116,1577.0657689627951,7.317302839893584
47,23.0,public,12037.601908032675,10747.22062772748,1290.381280305195,10.719587590316685
47,23.0,work,0.0,0.0,0.0,
48,23.5,home,22283.495893497322,20600.38711668872,1683.1087768086036,7.553163044312815
48,23.5,public,13060.592541143658,11945.364107626381,1115.2284335172772,8.53888083564409
48,23.5,work,0.0,0.0,0.0,
