Scenario,HexID,chargerAccessType,Annual_avg_daily_session_starts,Annual_total_session_starts
VIPV50_Wp700,16,work,1.8767123287671232,685.0
VIPV50_Wp700,160,home,90.58904109589041,33065.0
VIPV50_Wp700,160,public,126.97260273972603,46345.0
VIPV50_Wp700,160,work,28.76027397260274,10497.5
VIPV50_Wp700,161,home,46.88356164383562,17112.5
VIPV50_Wp700,161,public,74.36301369863014,27142.5
VIPV50_Wp700,161,work,11.226027397260275,4097.5
VIPV50_Wp700,162,home,43.13013698630137,15742.5
VIPV50_Wp700,162,public,30.0,10950.0
VIPV50_Wp700,162,work,1.8493150684931507,675.0
VIPV50_Wp700,163,home,1.2534246575342465,457.5
VIPV50_Wp700,163,public,0.0,0.0
VIPV50_Wp700,163,work,0.0,0.0
VIPV50_Wp700,164,home,51.917808219178085,18950.0
VIPV50_Wp700,164,public,46.15068493150685,16845.0
VIPV50_Wp700,164,work,3.76027397260274,1372.5
VIPV50_Wp700,165,home,78.66438356164383,28712.5
VIPV50_Wp700,165,public,11.212328767123287,4092.5
VIPV50_Wp700,165,work,17.493150684931507,6385.0
VIPV50_Wp700,166,home,4.335616438356165,1582.5
VIPV50_Wp700,166,public,5.0,1825.0
VIPV50_Wp700,166,work,3.1301369863013697,1142.5
VIPV50_Wp700,167,home,0.0,0.0
VIPV50_Wp700,167,public,0.0,0.0
VIPV50_Wp700,167,work,0.0,0.0
VIPV50_Wp700,168,home,5.0,1825.0
VIPV50_Wp700,168,public,0.0,0.0
VIPV50_Wp700,168,work,0.0,0.0
VIPV50_Wp700,169,home,20.595890410958905,7517.5
VIPV50_Wp700,169,public,1.8767123287671232,685.0
VIPV50_Wp700,169,work,1.8630136986301369,680.0
VIPV50_Wp700,17,home,33.73972602739726,12315.0
VIPV50_Wp700,17,public,0.0,0.0
VIPV50_Wp700,17,work,0.0,0.0
VIPV50_Wp700,170,home,52.486301369863014,19157.5
VIPV50_Wp700,170,public,10.623287671232877,3877.5
VIPV50_Wp700,170,work,3.136986301369863,1145.0
VIPV50_Wp700,171,home,57.54109589041096,21002.5
VIPV50_Wp700,171,public,45.60958904109589,16647.5
VIPV50_Wp700,171,work,19.363013698630137,7067.5
VIPV50_Wp700,172,home,29.356164383561644,10715.0
VIPV50_Wp700,172,public,30.006849315068493,10952.5
VIPV50_Wp700,172,work,0.0,0.0
VIPV50_Wp700,173,home,77.43150684931507,28262.5
VIPV50_Wp700,173,public,7.5,2737.5
VIPV50_Wp700,173,work,0.0,0.0
VIPV50_Wp700,174,home,100.02739726027397,36510.0
VIPV50_Wp700,174,public,34.93150684931507,12750.0
VIPV50_Wp700,174,work,8.767123287671232,3200.0
VIPV50_Wp700,175,home,70.63698630136986,25782.5
VIPV50_Wp700,175,public,81.26027397260275,29660.0
VIPV50_Wp700,175,work,1.86986301369863,682.5
VIPV50_Wp700,176,home,31.273972602739725,11415.0
VIPV50_Wp700,176,public,10.636986301369863,3882.5
VIPV50_Wp700,176,work,0.0,0.0
VIPV50_Wp700,177,home,47.43150684931507,17312.5
VIPV50_Wp700,177,public,19.972602739726028,7290.0
VIPV50_Wp700,177,work,1.8904109589041096,690.0
VIPV50_Wp700,178,home,37.486301369863014,13682.5
VIPV50_Wp700,178,public,73.70547945205479,26902.5
VIPV50_Wp700,178,work,18.71917808219178,6832.5
VIPV50_Wp700,179,home,0.0,0.0
VIPV50_Wp700,179,public,25.054794520547944,9145.0
VIPV50_Wp700,179,work,21.28767123287671,7770.0
VIPV50_Wp700,18,home,33.14383561643836,12097.5
VIPV50_Wp700,18,public,0.0,0.0
VIPV50_Wp700,18,work,1.2534246575342465,457.5
VIPV50_Wp700,180,home,3.1301369863013697,1142.5
VIPV50_Wp700,180,public,0.0,0.0
VIPV50_Wp700,180,work,0.0,0.0
VIPV50_Wp700,181,home,0.0,0.0
VIPV50_Wp700,181,public,1.8835616438356164,687.5
VIPV50_Wp700,181,work,0.0,0.0
VIPV50_Wp700,182,home,0.0,0.0
VIPV50_Wp700,182,public,6.267123287671233,2287.5
VIPV50_Wp700,182,work,2.5,912.5
VIPV50_Wp700,183,home,0.0,0.0
VIPV50_Wp700,183,public,6.8493150684931505,2500.0
VIPV50_Wp700,183,work,14.36986301369863,5245.0
VIPV50_Wp700,184,home,0.0,0.0
VIPV50_Wp700,184,public,6.863013698630137,2505.0
VIPV50_Wp700,184,work,6.8561643835616435,2502.5
VIPV50_Wp700,185,home,5.013698630136986,1830.0
VIPV50_Wp700,185,public,0.0,0.0
VIPV50_Wp700,185,work,0.0,0.0
VIPV50_Wp700,186,home,3.1164383561643834,1137.5
VIPV50_Wp700,186,public,0.0,0.0
VIPV50_Wp700,186,work,0.0,0.0
VIPV50_Wp700,187,home,21.89041095890411,7990.0
VIPV50_Wp700,187,public,16.253424657534246,5932.5
VIPV50_Wp700,187,work,10.006849315068493,3652.5
VIPV50_Wp700,188,home,52.52739726027397,19172.5
VIPV50_Wp700,188,public,16.273972602739725,5940.0
VIPV50_Wp700,188,work,7.5,2737.5
VIPV50_Wp700,189,home,98.67808219178082,36017.5
VIPV50_Wp700,189,public,29.34246575342466,10710.0
VIPV50_Wp700,189,work,3.7534246575342465,1370.0
VIPV50_Wp700,19,home,19.376712328767123,7072.5
VIPV50_Wp700,19,public,0.0,0.0
VIPV50_Wp700,19,work,4.993150684931507,1822.5
VIPV50_Wp700,190,home,113.02054794520548,41252.5
VIPV50_Wp700,190,public,25.589041095890412,9340.0
VIPV50_Wp700,190,work,0.6301369863013698,230.0
VIPV50_Wp700,191,home,125.41095890410959,45775.0
VIPV50_Wp700,191,public,61.85616438356164,22577.5
VIPV50_Wp700,191,work,3.1232876712328768,1140.0
VIPV50_Wp700,192,home,46.842465753424655,17097.5
VIPV50_Wp700,192,public,73.73287671232876,26912.5
VIPV50_Wp700,192,work,0.0,0.0
VIPV50_Wp700,193,home,20.602739726027398,7520.0
VIPV50_Wp700,193,public,42.49315068493151,15510.0
VIPV50_Wp700,193,work,15.650684931506849,5712.5
VIPV50_Wp700,194,home,15.650684931506849,5712.5
VIPV50_Wp700,194,public,0.0,0.0
VIPV50_Wp700,194,work,3.7465753424657535,1367.5
VIPV50_Wp700,195,home,30.664383561643834,11192.5
