Scenario,TimeIndex,Hour,chargerAccessType,Annual_avg_daily_chargingTime_min,Annual_total_chargingTime_min,Annual_avg_daily_chargingCost_SEK,Annual_total_chargingCost_SEK,Annual_avg_daily_energy_kWh,Annual_total_energy_kWh
VIPV50_Wp700,23,11.0,home,23446.013470319635,8557794.916666666,6355.271851360132,2319674.225746448,2429.285557535189,886689.2285003441
VIPV50_Wp700,23,11.0,public,26297.671803652964,9598650.208333332,28897.995924536528,10547768.512455832,5254.18107718846,1917776.093173788
VIPV50_Wp700,23,11.0,work,10986.706621004567,4010147.916666667,5987.949192580773,2185601.4552919823,1496.9872981451933,546400.3638229956
VIPV50_Wp700,24,11.5,home,32054.291666666668,11699816.458333334,8709.586135294761,3178998.939382588,3339.71045803359,1218994.3171822603
VIPV50_Wp700,24,11.5,public,27846.501369863014,10163973.0,30959.42770063402,11300191.110731417,5628.98685466073,2054580.2019511666
VIPV50_Wp700,24,11.5,work,8717.03881278539,3181719.166666667,4692.200217186105,1712653.0792729282,1173.0500542965262,428163.26981823205
VIPV50_Wp700,25,12.0,home,39890.99897260274,14560214.625,9036.50022922129,3298322.583665771,4145.164819053001,1512985.1589543454
VIPV50_Wp700,25,12.0,public,29102.65776255708,10622470.083333334,33018.5810566271,12051782.085668894,6003.378373932201,2191233.106485253
VIPV50_Wp700,25,12.0,work,8471.412442922374,3092065.5416666665,4474.278230697578,1633111.5542046158,1118.5695576743944,408277.88855115394
VIPV50_Wp700,26,12.5,home,46202.271232876716,16863829.0,10454.651389987199,3815947.7573453276,4782.151924087197,1745485.4522918267
VIPV50_Wp700,26,12.5,public,28934.32762557077,10561029.583333332,33330.208250927106,12165526.011588393,6060.037863804928,2211913.820288799
VIPV50_Wp700,26,12.5,work,8779.517808219178,3204524.0,4559.884688292917,1664357.911226915,1139.9711720732294,416089.47780672874
VIPV50_Wp700,27,13.0,home,49588.730022831056,18099886.458333336,11265.945659581428,4112070.1657472216,5143.988354765468,1877555.7494893959
VIPV50_Wp700,27,13.0,public,31219.84703196347,11395244.166666666,35994.82358711757,13138110.609297914,6544.513379475922,2388747.3835087116
VIPV50_Wp700,27,13.0,work,9471.499771689498,3457097.4166666665,4991.708385884365,1821973.5608477932,1247.9270964710913,455493.3902119483
