Scenario,Season,Period,chargerAccessType,Fullscale_avg_daily_actual_charging_h
VIPV50_Wp400,AUTUMN,Night,work,117.63541666666667
VIPV50_Wp400,AUTUMN,Night,public,1449.2458333333334
VIPV50_Wp400,AUTUMN,Morning,home,1769.7562500000001
VIPV50_Wp400,AUTUMN,Morning,work,5102.851388888888
VIPV50_Wp400,AUTUMN,Morning,public,4429.101388888888
VIPV50_Wp400,AUTUMN,Afternoon,home,17773.141666666666
VIPV50_Wp400,AUTUMN,Afternoon,work,1238.454861111111
VIPV50_Wp400,AUTUMN,Afternoon,public,6097.752777777778
VIPV50_Wp400,AUTUMN,Evening,home,22290.477083333335
VIPV50_Wp400,AUTUMN,Evening,work,56.84652777777778
VIPV50_Wp400,AUTUMN,Evening,public,2345.738194444444
VIPV50_Wp400,WINTER,Night,home,11865.446527777778
VIPV50_Wp400,WINTER,Night,work,130.26805555555555
VIPV50_Wp400,WINTER,Night,public,796.6256944444444
VIPV50_Wp400,WINTER,Morning,home,1895.5951388888889
VIPV50_Wp400,WINTER,Morning,work,5841.190277777778
VIPV50_Wp400,WINTER,Morning,public,4586.459027777778
VIPV50_Wp400,WINTER,Afternoon,home,17373.636805555554
VIPV50_Wp400,WINTER,Afternoon,work,1200.646527777778
VIPV50_Wp400,WINTER,Afternoon,public,6127.799305555555
VIPV50_Wp400,WINTER,Evening,home,26404.716666666667
VIPV50_Wp400,WINTER,Evening,work,49.109027777777776
VIPV50_Wp400,WINTER,Evening,public,3247.965277777778
VIPV50_Wp700,SPRING,Night,home,14872.634722222221
VIPV50_Wp700,SPRING,Night,work,95.6375
VIPV50_Wp700,SPRING,Night,public,1411.4743055555555
VIPV50_Wp700,SPRING,Morning,home,1798.90625
VIPV50_Wp700,SPRING,Morning,work,5470.122222222222
VIPV50_Wp700,SPRING,Morning,public,4155.863194444444
VIPV50_Wp700,SPRING,Afternoon,home,16230.775000000001
VIPV50_Wp700,SPRING,Afternoon,work,1125.7465277777778
VIPV50_Wp700,SPRING,Afternoon,public,5582.779861111111
VIPV50_Wp700,SPRING,Evening,home,17886.29236111111
VIPV50_Wp700,SPRING,Evening,work,71.10972222222222
