Scenario,Season,Period,chargerAccessType,Sample_event_count_selected_days,Fullscale_avg_daily_sessions
VIPV80_Wp400,SUMMER,Night,home,335,837.5
VIPV80_Wp400,SUMMER,Night,work,94,235.0
VIPV80_Wp400,SUMMER,Night,public,121,302.5
VIPV80_Wp400,SUMMER,Morning,home,851,2127.5
VIPV80_Wp400,SUMMER,Morning,work,1399,3497.5
VIPV80_Wp400,SUMMER,Morning,public,2097,5242.5
VIPV80_Wp400,SUMMER,Afternoon,home,4065,10162.5
VIPV80_Wp400,SUMMER,Afternoon,work,222,555.0
VIPV80_Wp400,SUMMER,Afternoon,public,2503,6257.5
VIPV80_Wp400,SUMMER,Evening,home,3391,8477.5
VIPV80_Wp400,SUMMER,Evening,work,10,25.0
VIPV80_Wp400,SUMMER,Evening,public,877,2192.5
VIPV80_Wp400,AUTUMN,Night,home,1742,4355.0
VIPV80_Wp400,AUTUMN,Night,work,104,260.0
VIPV80_Wp400,AUTUMN,Night,public,405,1012.5
VIPV80_Wp400,AUTUMN,Morning,home,780,1950.0
VIPV80_Wp400,AUTUMN,Morning,work,1424,3560.0
VIPV80_Wp400,AUTUMN,Morning,public,2162,5405.0
VIPV80_Wp400,AUTUMN,Afternoon,home,4466,11165.0
VIPV80_Wp400,AUTUMN,Afternoon,work,236,590.0
VIPV80_Wp400,AUTUMN,Afternoon,public,2544,6360.0
VIPV80_Wp400,AUTUMN,Evening,home,2063,5157.5
VIPV80_Wp400,AUTUMN,Evening,work,9,22.5
VIPV80_Wp400,AUTUMN,Evening,public,633,1582.5
VIPV80_Wp400,WINTER,Night,home,422,1055.0
VIPV80_Wp400,WINTER,Night,work,120,300.0
VIPV80_Wp400,WINTER,Night,public,132,330.0
VIPV80_Wp400,WINTER,Morning,home,793,1982.5
VIPV80_Wp400,WINTER,Morning,work,1505,3762.5
VIPV80_Wp400,WINTER,Morning,public,2314,5785.0
VIPV80_Wp400,WINTER,Afternoon,home,4374,10935.0
VIPV80_Wp400,WINTER,Afternoon,work,250,625.0
VIPV80_Wp400,WINTER,Afternoon,public,2648,6620.0
VIPV80_Wp400,WINTER,Evening,home,3627,9067.5
VIPV80_Wp400,WINTER,Evening,work,17,42.5
VIPV80_Wp400,WINTER,Evening,public,917,2292.5
VIPV80_Wp700,SPRING,Night,home,1553,3882.5
VIPV80_Wp700,SPRING,Night,work,95,237.5
VIPV80_Wp700,SPRING,Night,public,338,845.0
VIPV80_Wp700,SPRING,Morning,home,769,1922.5
VIPV80_Wp700,SPRING,Morning,work,1327,3317.5
VIPV80_Wp700,SPRING,Morning,public,1845,4612.5
VIPV80_Wp700,SPRING,Afternoon,home,3752,9380.0
VIPV80_Wp700,SPRING,Afternoon,work,215,537.5
VIPV80_Wp700,SPRING,Afternoon,public,2329,5822.5
VIPV80_Wp700,SPRING,Evening,home,1609,4022.5
VIPV80_Wp700,SPRING,Evening,work,7,17.5
VIPV80_Wp700,SPRING,Evening,public,528,1320.0
VIPV80_Wp700,SUMMER,Night,home,317,792.5
VIPV80_Wp700,SUMMER,Night,work,83,207.5
VIPV80_Wp700,SUMMER,Night,public,101,252.5
VIPV80_Wp700,SUMMER,Morning,home,809,2022.5
VIPV80_Wp700,SUMMER,Morning,work,1213,3032.5
VIPV80_Wp700,SUMMER,Morning,public,1866,4665.0
VIPV80_Wp700,SUMMER,Afternoon,home,3887,9717.5
VIPV80_Wp700,SUMMER,Afternoon,work,199,497.5
VIPV80_Wp700,SUMMER,Afternoon,public,2306,5765.0
VIPV80_Wp700,SUMMER,Evening,home,3208,8020.0
VIPV80_Wp700,SUMMER,Evening,work,12,30.0
VIPV80_Wp700,SUMMER,Evening,public,791,1977.5
VIPV80_Wp700,AUTUMN,Night,home,1715,4287.5
VIPV80_Wp700,AUTUMN,Night,work,100,250.0
VIPV80_Wp700,AUTUMN,Night,public,385,962.5
VIPV80_Wp700,AUTUMN,Morning,home,807,2017.5
VIPV80_Wp700,AUTUMN,Morning,work,1372,3430.0
VIPV80_Wp700,AUTUMN,Morning,public,2088,5220.0
VIPV80_Wp700,AUTUMN,Afternoon,home,4293,10732.5
VIPV80_Wp700,AUTUMN,Afternoon,work,226,565.0
VIPV80_Wp700,AUTUMN,Afternoon,public,2569,6422.5
VIPV80_Wp700,AUTUMN,Evening,home,2003,5007.5
VIPV80_Wp700,AUTUMN,Evening,work,15,37.5
VIPV80_Wp700,AUTUMN,Evening,public,583,1457.5
VIPV80_Wp700,WINTER,Night,home,400,1000.0
VIPV80_Wp700,WINTER,Night,work,107,267.5
VIPV80_Wp700,WINTER,Night,public,131,327.5
VIPV80_Wp700,WINTER,Morning,home,788,1970.0
VIPV80_Wp700,WINTER,Morning,work,1486,3715.0
