Scenario,Period,chargerAccessType,Fullscale_avg_daily_sessions,Annual_total_sessions,noVIPV_value,Absolute_change_vs_noVIPV,Change_vs_noVIPV_pct,Reduction_vs_noVIPV_pct
VIPV20_Wp400,Morning,public,5714.876712328767,2085930.0,5752.95205479452,-38.07534246575324,-0.661840079720831,0.661840079720831
VIPV20_Wp400,Afternoon,home,11185.561643835616,4082729.9999999995,11384.63698630137,-199.07534246575415,-1.7486314469692157,1.7486314469692157
VIPV20_Wp400,Afternoon,work,670.7465753424658,244822.50000000003,628.027397260274,42.719178082191775,6.802120141342755,-6.802120141342755
VIPV20_Wp400,Afternoon,public,6761.54794520548,2467965.0,6968.95205479452,-207.40410958904067,-2.976116178706527,2.976116178706527
VIPV20_Wp400,Evening,home,7115.1164383561645,2597017.5,7252.075342465753,-136.95890410958873,-1.8885477279531655,1.8885477279531655
VIPV20_Wp400,Evening,work,26.30821917808219,9602.5,26.28082191780822,0.027397260273971824,0.10424811050299418,-0.10424811050299418
VIPV20_Wp400,Evening,public,2001.1917808219177,730435.0,2027.4315068493152,-26.23972602739741,-1.2942348946808404,1.2942348946808404
VIPV20_Wp700,Night,home,2664.4520547945203,972524.9999999999,2771.4109589041095,-106.95890410958918,-3.8593664272686437,3.8593664272686437
VIPV20_Wp700,Night,work,263.6027397260274,96215.0,298.90410958904107,-35.30136986301369,-11.810265811182399,11.810265811182399
VIPV20_Wp700,Night,public,711.6369863013699,259747.50000000003,682.2328767123288,29.404109589041127,4.309981326426123,-4.309981326426123
VIPV20_Wp700,Morning,home,2133.1849315068494,778612.5,2179.9931506849316,-46.808219178082254,-2.1471727635188023,2.1471727635188023
VIPV20_Wp700,Morning,work,3742.8424657534247,1366137.5,3967.828767123288,-224.9863013698632,-5.67026236701692,5.67026236701692
VIPV20_Wp700,Morning,public,5678.143835616438,2072522.5,5752.95205479452,-74.80821917808225,-1.300344909284216,1.300344909284216
VIPV20_Wp700,Afternoon,home,11152.794520547945,4070769.9999999995,11384.63698630137,-231.84246575342513,-2.0364502270242864,2.0364502270242864
VIPV20_Wp700,Afternoon,work,628.8698630136986,229537.5,628.027397260274,0.8424657534245625,0.1341447454521508,-0.1341447454521508
VIPV20_Wp700,Afternoon,public,6689.527397260274,2441677.5,6968.95205479452,-279.42465753424676,-4.009564929378548,4.009564929378548
VIPV20_Wp700,Evening,home,6995.95205479452,2553522.5,7252.075342465753,-256.1232876712329,-3.531724031760394,3.531724031760394
VIPV20_Wp700,Evening,work,29.924657534246574,10922.5,26.28082191780822,3.6438356164383556,13.864998696898617,-13.864998696898617
VIPV20_Wp700,Evening,public,1909.4931506849316,696965.0,2027.4315068493152,-117.93835616438355,-5.817131467373861,5.817131467373861
VIPV20_Wp1000,Night,home,2651.3835616438355,967755.0,2771.4109589041095,-120.02739726027403,-4.330912991256125,4.330912991256125
VIPV20_Wp1000,Night,work,247.24657534246575,90245.0,298.90410958904107,-51.657534246575324,-17.282309807516036,17.282309807516036
