Scenario,Season,Adoption_pct,System_Wp,Daily_demand_MWh,Home_MWh,Public_MWh,Home_share,Public_share,Peak_30min_MW,Peak_slot,Peak_time,Load_factor,Overnight_share_00_06,Daytime_share_06_16,Evening_share_16_24,Active_hexes,Max_hex_MWh_day,P95_hex_MWh_day,Top10pct_hex_share,Spatial_Gini,Spatial_HHI,Demand_centroid_x,Demand_centroid_y,Demand_reduction_pct,Peak_reduction_pct
VIPV20_Wp700,AUTUMN,20,700,559.0628945294504,332.08388606378696,226.97900846566347,0.5940009421360254,0.40599905786397456,43.49953821177705,37,18:00,0.5355065416706826,0.20045886420177578,0.374770521543474,0.4247706142547502,551,6.2875,2.7872499999999985,0.33499136680329905,0.5436760637315071,0.0036063337204465,319827.2975302825,6399983.757684151,0.022680217695570156,0.030727841529798808
VIPV20_Wp700,WINTER,20,700,562.5812292725053,328.3543013586938,234.2269279138115,0.5836566957331673,0.4163433042668328,41.50840818546208,37,18:00,0.5647261742316343,0.13957354368499245,0.38693730386243164,0.4734891524525761,551,6.46,2.876094253738743,0.3321705473511656,0.5422895145002321,0.003580197214346752,319848.20866089227,6399973.900077268,0.015824357271854,0.03257713232599034
VIPV20_Wp1000,SPRING,20,1000,530.6498376150467,309.02845058817337,221.6213870268734,0.5823585134352838,0.4176414865647163,37.58773363463911,35,17:00,0.5882347181541966,0.2070092223587679,0.4045248409910948,0.3884659366501373,546,5.815,2.69175,0.32639075192292005,0.5339814186947553,0.0035085473407977393,319832.20939816127,6399970.307269648,0.06724409507614898,0.055974780619742
VIPV20_Wp1000,SUMMER,20,1000,543.8178373100026,321.7790163518976,222.03882095810488,0.5917036814084272,0.4082963185915728,40.14798303675159,37,18:00,0.5643889142286738,0.13730961805230565,0.38632511796295255,0.47636526398474177,557,6.06,2.7991081042727086,0.33401615950376684,0.5423918156794202,0.003583056313981894,319793.22989040945,6399979.507844928,0.05147903205433763,0.05650501985027053
VIPV20_Wp1000,AUTUMN,20,1000,557.4439733001975,329.7203581172315,227.723615182966,0.5914860935085737,0.40851390649142627,42.725073417553745,37,18:00,0.5436346941723157,0.19489887710304518,0.37834256982928754,0.4267585530676673,552,5.15,2.816510320672477,0.3306009368289477,0.5432494960919791,0.003538397759197155,319848.0612873157,6400018.46146494,0.0255103174192751,0.04798474111115502
VIPV20_Wp1000,WINTER,20,1000,560.9084710648326,329.8407495518408,231.06772151299185,0.5880473670252632,0.41195263297473694,41.20660999133881,37,18:00,0.5671708082581994,0.14396587519776746,0.3803442162497999,0.4756899085524326,552,6.025,2.809513841146119,0.33112775508292996,0.5411632652333739,0.003549864207588147,319826.0553638593,6399923.982003981,0.018750668706549282,0.039611043940067404
VIPV50_Wp400,SPRING,50,400,527.5171457520086,305.3287205775888,222.1884251744198,0.5788034057970262,0.42119659420297395,37.37807637018881,35,17:00,0.5880420612156112,0.20733300645529343,0.40608398253229716,0.38658301101240927,553,6.02,2.7121923649352566,0.3363275623844587,0.539025542591125,0.0035841328889695536,319829.4717499874,6399909.963298252,0.07275062052179611,0.06124037462951129
VIPV50_Wp400,SUMMER,50,400,534.1229356208187,314.5525580746772,219.5703775461414,0.588914156455514,0.41108584354448596,39.04036312412514,36,17:30,0.5700541833275489,0.13955366807361233,0.3891840352973497,0.4712622966290381,548,5.9525,2.685,0.33190141216758756,0.5387053642316169,0.003538209321930695,319843.52056006715,6399979.896835774,0.06838877076362657,0.08253456725045517
VIPV50_Wp400,AUTUMN,50,400,554.4693730582803,330.27546469913335,224.19390835914703,0.5956604291368462,0.40433957086315386,43.6417021135185,37,18:00,0.5293764776635199,0.19835940241158773,0.37328240475912167,0.4283581928292908,553,6.73,2.820301113940165,0.32953252721769616,0.5385172319237934,0.0035384434747808675,319839.3718866047,6399996.9864174165,0.03071033281883059,0.027560094984384404
VIPV50_Wp400,WINTER,50,400,560.7287430800034,327.81743964191975,232.91130343808376,0.5846274935742817,0.4153725064257185,42.6838732929737,37,18:00,0.5473659212688984,0.1419354273831004,0.38176745738065815,0.4762971152362416,554,5.79612101858544,2.9075841014945865,0.3356550567461923,0.5433403095758588,0.003580904354699159,319819.7691813172,6400013.85813176,0.019065083578183532,0.005180952253782395
VIPV50_Wp700,SPRING,50,700,504.09901357817614,291.5462482761672,212.55276530200888,0.5783511580527105,0.4216488419472894,35.627107566270006,35,17:00,0.5895546116587644,0.20585702164863995,0.4049373321335426,0.3892056462178175,548,5.735,2.6378917128052004,0.33922830757772876,0.5435359536344926,0.0036183973686150974,319813.00986496586,6399998.197912515,0.11391411388231877,0.1052163888610303
VIPV50_Wp700,SUMMER,50,700,509.5953046474823,297.1627051741072,212.43259947337515,0.583134700151275,0.41686529984872517,38.78452455946713,37,18:00,0.5474641737863506,0.13099287671906013,0.3924894855351161,0.47651763774582384,550,5.490221092231681,2.5740034904170526,0.33226253708626924,0.542313826900167,0.0035917696650954165,319830.1998831806,6400033.98389496,0.11116958940562502,0.08854688426430331
VIPV50_Wp700,AUTUMN,50,700,543.2867195344934,326.78604960375407,216.5006699307393,0.6014983209671598,0.39850167903284006,42.59174791986101,36,17:30,0.5314866788248128,0.2025007137394918,0.36498589789834446,0.43251338836216385,549,5.7,2.860208671896883,0.3333144189008086,0.5426334998531422,0.0035760797664134555,319817.7517272857,6399999.295970133,0.050259168226074014,0.05095554719876462
VIPV50_Wp700,WINTER,50,700,555.2702232396775,327.0191857449624,228.25103749471512,0.588937011311351,0.41106298868864893,41.2786729918575,36,17:30,0.5604894155928175,0.14297160047217777,0.37878655091962515,0.478241848608197,549,5.641475155279503,2.8109259567512614,0.33059942910409806,0.5391501598091323,0.003545990545358646,319817.5481310046,6399941.512585195,0.0286141797667356,0.03793149520132775
VIPV50_Wp1000,SPRING,50,1000,481.0648435111337,275.1089007551142,205.95594275601954,0.571874882286523,0.42812511771347705,34.67628955230885,35,17:00,0.5780424820075929,0.20213965406295695,0.41605490435859044,0.3818054415784526,547,5.7375,2.455634355508094,0.33277234879795986,0.5427796610309493,0.003594581232478384,319825.01844507386,6399954.480871153,0.15440269339761165,0.1290964182595891
