hour_of_day,mode,pvEnergyProduced_kWh,pvEnergyStored_kWh,pvEnergyWasted_kWh,Scenario,Season,Adoption_pct,System_Wp,Annual_factor_full,pvEnergyProduced_annual_kWh_full,pvEnergyStored_annual_kWh_full,pvEnergyWasted_annual_kWh_full
8,PARKED_OPEN,2922.5544783319897,2778.9746014369357,143.57987692224754,VIPV50_Wp400,SUMMER,50,400,131.42857142857142,384107.1600093472,365236.6619031401,18870.498109781103
9,DRIVING,129.05011101277623,128.79081357959535,0.25929743552831336,VIPV50_Wp400,SUMMER,50,400,131.42857142857142,16960.87173310773,16926.79264188967,34.079091526578324
9,PARKED_OPEN,1421.8469867093256,1354.254521824441,67.5924648999389,VIPV50_Wp400,SUMMER,50,400,131.42857142857142,186871.31825322565,177987.7371540694,8883.581101134827
10,DRIVING,197.44542849077686,197.07704865183428,0.36837983937559193,VIPV50_Wp400,SUMMER,50,400,131.42857142857142,25949.970601644956,25901.554965669646,48.41563603222065
10,PARKED_OPEN,1541.0937982150185,1476.0451999480574,65.04859828247405,VIPV50_Wp400,SUMMER,50,400,131.42857142857142,202543.756336831,193994.51199317325,8549.244345696588
11,DRIVING,241.72437884500027,241.2784805112301,0.445898335785326,VIPV50_Wp400,SUMMER,50,400,131.42857142857142,31769.489791057174,31710.886010047383,58.60378127464284
11,PARKED_OPEN,1652.3816919363305,1586.6475406012512,65.73415135595529,VIPV50_Wp400,SUMMER,50,400,131.42857142857142,217170.1652259177,208530.8196218787,8639.345606782694
12,DRIVING,248.47220055977883,248.12314008627683,0.3490604737134852,VIPV50_Wp400,SUMMER,50,400,131.42857142857142,32656.346359285213,32610.469839910667,45.87651940234377
12,PARKED_OPEN,1560.2645091266168,1506.1512182494218,54.11329089757443,VIPV50_Wp400,SUMMER,50,400,131.42857142857142,205063.33548521248,197951.302969924,7112.032517966924
13,DRIVING,213.50375452000011,213.2887654139422,0.21498910623160938,VIPV50_Wp400,SUMMER,50,400,131.42857142857142,28060.49345120001,28032.237740118115,28.2557111047258
13,PARKED_OPEN,1231.7665854694176,1194.5397511619583,37.226834335898616,VIPV50_Wp400,SUMMER,50,400,131.42857142857142,161889.32266169487,156996.65300985737,4892.669655575246
14,DRIVING,196.53868625066465,196.29716386281757,0.2415223879220487,VIPV50_Wp400,SUMMER,50,400,131.42857142857142,25830.798764373067,25799.055821970305,31.742942412612113
14,PARKED_OPEN,859.6980999616243,842.268750783167,17.429349213070775,VIPV50_Wp400,SUMMER,50,400,131.42857142857142,112988.89313781347,110698.17867435908,2290.7144680035876
15,DRIVING,186.61562926644268,186.40241105582706,0.21321821166220628,VIPV50_Wp400,SUMMER,50,400,131.42857142857142,24526.625560732464,24498.6025959087,28.022964961318536
15,PARKED_OPEN,605.0918512997232,596.9732925386918,8.118558815559798,VIPV50_Wp400,SUMMER,50,400,131.42857142857142,79526.35759939218,78459.3470193709,1067.010587187859
16,DRIVING,123.34274096844479,123.1923338882303,0.15040709026105945,VIPV50_Wp400,SUMMER,50,400,131.42857142857142,16210.760241567028,16190.992453881694,19.76778900573924
16,PARKED_OPEN,331.02249438055696,327.4187360768914,3.6037583640437036,VIPV50_Wp400,SUMMER,50,400,131.42857142857142,43505.81354715891,43032.17674153429,473.63681356002957
17,DRIVING,45.61863243977794,45.57270798225755,0.045924466122834254,VIPV50_Wp400,SUMMER,50,400,131.42857142857142,5995.5916920851005,5989.555906239563,6.03578697614393
17,PARKED_OPEN,102.63268162177647,102.06274411419476,0.5699375452981206,VIPV50_Wp400,SUMMER,50,400,131.42857142857142,13488.866727433478,13413.960655008452,74.9060773820387
18,DRIVING,7.84084907422211,7.832782488620918,0.008066590067578374,VIPV50_Wp400,SUMMER,50,400,131.42857142857142,1030.5115926120486,1029.4514127901778,1.060180408881729
18,PARKED_OPEN,16.966037759557487,16.902273911435692,0.06376386711092558,VIPV50_Wp400,SUMMER,50,400,131.42857142857142,2229.8221055418408,2221.441714074405,8.380393963150217
19,DRIVING,0.844799634666665,0.8442263371085883,0.0005733007113289969,VIPV50_Wp400,SUMMER,50,400,131.42857142857142,111.03080912761881,110.95546144855732,0.07534809348895387
19,PARKED_OPEN,1.4465921044443733,1.4445877693735194,0.002004339886823823,VIPV50_Wp400,SUMMER,50,400,131.42857142857142,190.12353372697476,189.86010683194826,0.2634275279825596
4,DRIVING,0.0019655999999999905,0.001965599947180599,5.286526671047232e-11,VIPV50_Wp400,AUTUMN,50,400,130.0,0.25552799999999876,0.25552799313347785,6.872484672361401e-09
4,PARKED_OPEN,2771.012104737464,2410.6683970928,360.34370778072093,VIPV50_Wp400,AUTUMN,50,400,130.0,360231.5736158703,313386.89162206405,46844.68201149372
5,DRIVING,0.2299375835555505,0.22969842152527087,0.0002391620504710611,VIPV50_Wp400,AUTUMN,50,400,130.0,29.891885862221564,29.860794798285212,0.031091066561237942
